Question,Correct Answer,Wrong Answer 1,Wrong Answer 2,Wrong Answer 3
Which command compiles Java source files?,javac,java,javacompile,compile
What option specifies source file location in javac?,-d,--source-path,-s,--output
What does -d specify in javac?,Output directory for class files,Source directory,Module directory,Dependency path
What option specifies module path in javac?,--module-path or -p,--modules,-mp,--module-dir
What option specifies classpath in javac?,--class-path or -cp,--classpath-dir,-c,--path
Can you use both classpath and module path?,Yes,No,Only in Java 17,Only for automatic modules
How do you compile a module?,javac -d out --module-source-path src -m module.name,javac -d out src/*.java,javac --module src,javac -m module.name
What is --module-source-path?,Root directory containing module source directories,Module path,Source files,Output directory
Can you compile multiple modules at once?,Yes,No,Only two,Only with separate commands
What does -m specify in javac?,Module name to compile,Main class,Module path,Module version
Which command creates JAR files?,jar,javac,jlink,jmod
What option creates a new JAR?,jar --create or jar -c,jar --new,jar -n,jar --make
What option specifies JAR file name?,jar --file or jar -f,jar --name,jar -n,jar --output
What option specifies manifest file?,jar --manifest or jar -m,jar --manifest-file,-mf,jar --meta
What option specifies entry point?,jar --main-class or jar -e,jar --entry,-e,jar --start
What option updates existing JAR?,jar --update or jar -u,jar --modify,jar -m,jar --change
What option extracts JAR contents?,jar --extract or jar -x,jar --unzip,jar -z,jar --open
What option lists JAR contents?,jar --list or jar -t,jar --show,jar -s,jar --view
What is the manifest file name?,MANIFEST.MF,manifest.txt,META.INF,MANIFEST.txt
Where is MANIFEST.MF located?,META-INF directory,Root of JAR,manifest directory,WEB-INF
What does Main-Class specify in manifest?,Entry point class,Module name,Package name,JAR name
What format is Main-Class value?,Fully qualified class name,Simple class name,Class path,Package path
Does Main-Class need .class extension?,No,Yes,Optional,Only in modular JARs
What is a modular JAR?,JAR with module-info.class at root,JAR in module path,JAR with manifest,JAR with modules
Where is module-info.class in modular JAR?,Root directory,META-INF,Module directory,Any location
Can a JAR be both modular and executable?,Yes,No,Only automatic,Only unnamed
How do you create modular JAR?,"Compile with module-info.java, include in JAR root",Use --module flag,Add to manifest,Use jmod
What is a non-modular JAR?,Traditional JAR without module descriptor,JAR on classpath,JAR without manifest,Unnamed JAR
Can non-modular JAR be on module path?,Yes (becomes automatic module),No,Only with flag,Only in Java 17
What is an automatic module?,Non-modular JAR on module path,JAR with automatic exports,Self-describing JAR,Module without dependencies
How is automatic module name determined?,Automatic-Module-Name in manifest or filename,Filename only,Manifest only,Package name
What manifest attribute specifies module name?,Automatic-Module-Name,Module-Name,Name,Automatic-Name
How is module name derived from filename?,"Remove version and extension,  replace non-alphanumeric",Use full filename,Use first part,Random name
Which characters are replaced in automatic module names?,Non-alphanumeric to dots,All to underscores,Dots to dashes,No replacement
"For JAR ""my-lib-1.0.jar"", what is automatic module name?",my.lib,my-lib,my.lib.1.0,mylib10
Should you use Automatic-Module-Name?,Yes (more stable),No,Optional,Only for libraries
Do automatic modules require all modules?,Yes (implicitly),No,Only explicit,Only java.base
Do automatic modules export all packages?,Yes,No,Only public,Only named packages
Can automatic modules access classpath?,Yes,No,Only unnamed,Only named modules
What is the unnamed module?,All code on classpath,Module without name,Automatic module,Default module
Can unnamed module read named modules?,Yes,No,Only automatic,Only platform
Can named modules read unnamed module?,No,Yes,Only automatic,With --add-reads
How do you run modular application?,java --module-path mods -m module/main.class,java -jar app.jar,java -cp classpath Main,java --module Main
What does -m specify when running?,module/mainclass,Module name only,Main class only,Module path
Is the /mainclass required in -m?,No (if specified in module-info or manifest),Yes (always),Only for libraries,Only without manifest
What does --module-path specify?,Location of modules,Module to run,Module name,Module version
Can you use -jar with modules?,Yes,No,Only automatic,Only unnamed
What takes precedence: -jar or -m?,-jar,--m,-Same,Depends on order
What does jlink do?,Creates custom runtime image,Links JARs,Creates modules,Compiles code
What does jlink require?,Modular JARs,Any JARs,Source files,Class files
Can jlink work with non-modular JARs?,No,Yes,Only automatic,With conversion
What option specifies modules to include in jlink?,--add-modules,--modules,-m,--include
What option specifies module path in jlink?,--module-path or -p,--modules,--path,-mp
What option specifies output directory in jlink?,--output,--out,-o,--directory
What does jlink optimize?,Size and startup,Compilation,Runtime speed,Memory usage
What is included in jlink output?,Custom JRE with specified modules,Full JDK,Source code,All platform modules
Can jlink include application modules?,Yes,No,Only platform,Only java.base
What script does jlink create?,bin/java launcher,run.sh,start.bat,module.sh
Can you run jlink image without JDK installed?,Yes,No,Only with JRE,Only on same OS
What is a multi-release JAR?,JAR with version-specific classes,JAR with multiple modules,JAR with multiple manifests,Large JAR
What manifest attribute indicates multi-release JAR?,Multi-Release: true,Multi-Release: yes,Version: Multi,Release: Multiple
Where are version-specific classes in multi-release JAR?,META-INF/versions/N,versions/N,META-INF/N,classes/N
"What does ""N"" represent in META-INF/versions/N?",Java version number,Module number,Release number,Variant number
Can automatic modules be in multi-release JAR?,Yes,No,Only version 9+,Only if named
What is bottom-up migration?,Migrate dependencies first,Migrate top-level first,Migrate all at once,No migration needed
