Question,Correct Answer,Wrong Answer 1,Wrong Answer 2,Wrong Answer 3
What is a sealed class?,Class that restricts which classes can extend it,Final class,Abstract class,Private class
When were sealed classes introduced?,"Java 17 (preview 15,  16)",Java 11,Java 8,Java 18
What keyword makes class sealed?,sealed,final,restricted,closed
What must sealed class have?,permits clause (or subclasses in same file),Nothing extra,Only abstract methods,Only private constructor
What is permits clause?,Specifies allowed subclasses,Permission list,Import statement,Access modifier
What is syntax for permits?,"sealed class Parent permits Child1,  Child2, sealed class Parent: Child1,  Child2",sealed class Parent {Child1, Child2},sealed class Parent extends Child1
Can you omit permits clause?,Yes (if subclasses in same file),No,Only for interfaces,Only for abstract
What must permitted subclass be?,"final,  sealed,  or non-sealed",Only final,Only sealed,Only non-sealed
What is non-sealed keyword?,Allows subclass to be extended freely,Not sealed,Unsealed,Open
What does non-sealed do?,Removes sealing restriction,Makes class abstract,Makes class final,Prevents extension
Can sealed class be final?,No (contradiction),Yes,Only if no permits,Only abstract
Can sealed class be abstract?,Yes,No,Must be concrete,Only interfaces
Can interface be sealed?,Yes,No,Only classes,Only abstract
What must permitted interface implementation be?,"final,  sealed,  or non-sealed",Only final,Only sealed,Only non-sealed
Can enum extend sealed class?,Yes,No,Only implement sealed interface,Only if permitted
Can record extend sealed class?,Yes (if permitted),No,Only implement,Only abstract sealed
Can sealed class extend sealed class?,Yes,No,Only if permitted,Only non-sealed
Must permitted subclasses be in same module?,Yes (or same package if unnamed module),No,Only named modules,Only packages
Can permitted subclass be in different package?,Yes (same module),No,Only same package,Only unnamed module
What is purpose of sealed classes?,Controlled inheritance hierarchy,Performance,Memory savings,Syntax sugar
What is benefit of sealed classes?,Exhaustive switch without default,Type safety,Performance,Documentation
Can you use sealed with final?,No (contradiction),Yes,Only for methods,Only for fields
Can you use sealed with non-sealed?,No (applied to different classes),Yes,Always,Sometimes
What does compiler enforce for sealed?,All permitted subclasses exist and extend,Nothing,Only syntax,Only access
What is sealed interface?,Interface restricting implementations,Final interface,Abstract interface,Closed interface
Can sealed interface have default methods?,Yes,No,Only abstract,Only static
Can permitted subclass be anonymous?,No,Yes,Only inner,Only local
Can permitted subclass be local?,No,Yes,Only anonymous,Only nested
Can permitted subclass be inner?,Yes,No,Only static nested,Only top-level
Must permitted subclass be direct?,Yes (direct subtypes only),No,Can be indirect,Any level
What happens if permitted subclass not final/sealed/non-sealed?,Compilation error,Runtime error,Warning,Nothing
Can you make subclass of non-sealed?,Yes (freely),No,Only if permitted,Only sealed
What is exhaustiveness in switch?,All possible types covered,All values covered,Complete switch,No default needed
Do sealed classes enable exhaustiveness?,Yes (compiler knows all types),No,Only with default,Only enums
What is pattern matching?,Matching value against pattern,String matching,Regex,Switch statement
When was pattern matching for instanceof introduced?,Java 16,Java 14,Java 17,Java 11
What is pattern matching for instanceof?,instanceof with type pattern and variable,Regular instanceof,Pattern variable,Type casting
What is syntax for pattern matching instanceof?,if (obj instanceof String s),if (obj instanceof String),if (String s = obj),instanceof obj String s
What is pattern variable?,Variable declared in pattern,Any variable,Matched variable,Instance variable
What is scope of pattern variable?,Where pattern matches (flow scoping),Entire method,Only if block,Only where declared
Can you use pattern variable outside if?,Yes (if compiler proves match),No,Only with else,Only in block
"For if (obj instanceof String s), where is s available?",In true branch and flow-dependent locations,Entire method,Only if block,Nowhere
Can you reuse variable name in pattern?,No (in same scope),Yes,Only different types,Only different blocks
What is type test pattern?,instanceof with type,Pattern for types,Test pattern,Type checking
Can you add extra condition to pattern?,Yes (if (obj instanceof String s && s.length() > 0)),No,Only separate if,Only in switch
What is pattern matching for switch?,"Switch using type patterns (Java 17 preview,  21 standard)",Regular switch,String switch,Enum switch
What is syntax for pattern switch?,switch(obj) { case String s -> ...; },Regular switch,switch instanceof,pattern switch obj
Can switch have type patterns?,Yes (Java 21),No,Only Java 17,Only preview
Can switch pattern have guard?,Yes (when clause in Java 21),No,Only if inside,Only separate
What is guard in switch?,Additional condition (when clause),Default case,Fall-through,Switch expression
What is syntax for guarded pattern?,case String s when s.length() > 0 ->,case String s if s.length() > 0,case String s && s.length() > 0,when String s -> s.length() > 0
Can switch on sealed class be exhaustive?,Yes,No,Only with default,Only enums
Must exhaustive switch cover all permitted types?,Yes,No,Only most common,Only with default
Can you omit default in exhaustive switch?,Yes,No,Always required,Only sealed
What happens if missing case in sealed switch?,Compilation error,Runtime error,Warning,Nothing
Can record be used in pattern matching?,Yes (with deconstruction patterns in Java 21),No,Only instanceof,Only switch
What is record pattern?,Pattern deconstructing record (Java 21),Record instanceof,Record matching,Pattern record
What is syntax for record pattern?,"case Point(int x, int y) ->, case Point p ->, case (int x", int y),Point(int x, int y) case
What is deconstruction?,Extracting record components,Destroying object,Pattern matching,Type casting
Can you nest patterns?,Yes (Java 21),No,Only one level,Only records
What is nested pattern?,"Pattern within pattern, e.g., case Box(Point(int x, int y)), Multiple patterns",Pattern in method,Pattern in class,Deep pattern
Can you use var in pattern?,Yes,No,Only instanceof,Only switch
What does var pattern do?,Matches any type,Infers type,Variable pattern,Generic pattern
Is var pattern useful?,For guarded patterns or nested patterns,No,Always,Never
What is total pattern?,Pattern matching all values,Complete pattern,Full pattern,Exhaustive pattern
Is Object pattern total?,Yes,No,Only non-null,Only with guard
Is sealed type pattern total?,Yes (if all permitted types covered),No,Only with default,Only abstract
Can pattern variable shadow existing variable?,No,Yes,Only outer scope,Only different type
What is flow scoping?,Pattern variable scope determined by control flow,Regular scoping,Method scoping,Block scoping
What is dominance in switch?,Pattern that makes later patterns unreachable,First pattern,Default case,Most specific
What is error if case dominates?,Compilation error,Runtime error,Warning,Nothing
"For switch(obj) { case Object o -> ...; case String s -> ...; }, what's wrong?",Object dominates String,Nothing,Runtime error,String dominates
