Question,Correct Answer,Wrong Answer 1,Wrong Answer 2,Wrong Answer 3
"What is the correct way to instantiate a class?
class Car {
    String model;
}",Car c = new Car();,Car c = Car();,new Car() = c;,Car c = new Car;
"What happens to an object when no references point to it?",Eligible for garbage collection,Immediately deleted,Throws NullPointerException,Remains in memory forever
"What is the output?
class Test {
    int x = 10;
}
Test t1 = new Test();
Test t2 = t1;
t2.x = 20;
System.out.println(t1.x);",20,10,Compilation error,NullPointerException
"Which statement about object creation is true?",new keyword allocates memory on heap,new keyword allocates memory on stack,Objects are stored on stack,Primitives are stored on heap
"What is a nested class?",A class defined within another class,A class that extends another class,A class with multiple constructors,A class in a different package
"What happens with this code?
String s1 = ""Hello"";
String s2 = s1;
s1 = ""World"";
System.out.println(s2);",Hello,World,HelloWorld,Compilation error
"Which type of nested class has access to instance members of outer class?",Inner class,Static nested class,Local class,Both A and C
"What is the result?
class Outer {
    int x = 10;
    class Inner {
        void display() {
            System.out.println(x);
        }
    }
}",10,Compilation error,0,NullPointerException
"When is an object created in Java?",When new keyword is executed,When class is declared,When variable is declared,When constructor is called without new
"What happens with null reference?
String s = null;
System.out.println(s.length());",NullPointerException,Prints 0,Prints null,Compilation error
"How do you instantiate an inner class?
class Outer {
    class Inner {}
}",Outer.Inner in = new Outer().new Inner();,Inner in = new Inner();,Outer.Inner in = new Inner();,Inner in = new Outer.Inner();
"What is the output?
class Test {
    static int count = 0;
    Test() {
        count++;
    }
}
new Test();
new Test();
System.out.println(Test.count);",2,0,1,Compilation error
"Which statement about garbage collection is correct?",System.gc() suggests but doesn't guarantee GC,System.gc() immediately runs GC,delete keyword removes objects,finalize() prevents garbage collection
"What is the result?
class Box {
    int size;
    Box(int s) { size = s; }
}
Box b;
System.out.println(b.size);",Compilation error (variable not initialized),0,NullPointerException,Prints null
"What happens when reassigning object references?
Dog d1 = new Dog(""Max"");
Dog d2 = new Dog(""Buddy"");
d1 = d2;",Original Max object is eligible for GC,Both objects remain in memory,d2 becomes null,Compilation error
"Which nested class can be instantiated without outer class instance?",Static nested class,Inner class,Anonymous class,Local class
"What is the output?
class Test {
    int x;
}
Test t = new Test();
System.out.println(t.x);",0,null,Compilation error,Undefined
"What is a local class?",A class defined inside a method,A class in the same package,A public class,A class with local variables only
"What happens with this code?
class Outer {
    static class Nested {
        int x = 10;
    }
}
Outer.Nested n = new Outer.Nested();
System.out.println(n.x);",10,Compilation error,0,NullPointerException
"Which statement about object lifecycle is true?",Objects go through creation-use-GC phases,Objects must be manually deleted,Stack stores all objects,Objects never get removed from memory
"What is the result?
StringBuilder sb = new StringBuilder(""Java"");
StringBuilder sb2 = sb;
sb2.append("" 17"");
System.out.println(sb);",Java 17,Java,Compilation error,17
"What does finalize() method do?",Called by GC before object destruction,Prevents garbage collection,Creates new object,Initializes object
"What is the output?
class Test {
    Test() {
        System.out.println(""Created"");
    }
}
Test t = new Test();",Created,Nothing is printed,Compilation error,Test
"Which is true about anonymous classes?",They have no name and are declared inline,They must have a name,They cannot extend classes,They are always static
"What happens with method-local inner class?
class Outer {
    void method() {
        class Local {
            int x = 10;
        }
        Local l = new Local();
        System.out.println(l.x);
    }
}",Prints 10,Compilation error,NullPointerException,0
"What is the result?
Object obj = new Object();
obj = null;",obj is eligible for GC,obj still references the object,Compilation error,NullPointerException immediately
"Which nested class can access local variables of enclosing method?",Local class (if variables are final or effectively final),Static nested class,Inner class,All nested classes
"What is the output?
class A {
    int x = 5;
}
A a1 = new A();
A a2 = new A();
a1 = a2;
a2.x = 10;
System.out.println(a1.x);",10,5,15,Compilation error
"What happens when constructor throws exception?",Object is not created,Object is partially created,Object is created normally,Compilation error
"Which statement about object references is correct?",Multiple references can point to same object,One object can only have one reference,References are stored on heap,Objects are stored on stack
"What is the result?
class Outer {
    int x = 10;
    static class Nested {
        void display() {
            System.out.println(x);
        }
    }
}",Compilation error (cannot access non-static from static),10,0,NullPointerException
"What happens with this code?
String s = new String(""Hello"");
s = s.concat("" World"");
System.out.println(s);",Hello World,Hello,World,Compilation error
"Which is true about inner class instantiation?",Requires instance of outer class,Does not require outer class instance,Can only be instantiated in static context,Cannot be instantiated
"What is the output?
class Test {
    int x = 10;
    void display() {
        int x = 20;
        System.out.println(x);
    }
}
new Test().display();",20,10,30,Compilation error
"What happens when object goes out of scope?",Reference is removed but object may remain in memory,Object is immediately deleted,Compilation error,NullPointerException
"Which nested class type can be declared in an interface?",Static nested class (implicitly static),Inner class,Local class,Anonymous class with instance members
"What is the result?
Integer i1 = new Integer(100);
Integer i2 = new Integer(100);
System.out.println(i1 == i2);",false,true,Compilation error,NullPointerException
"What happens with WeakReference objects?",Can be garbage collected even if referenced,Never garbage collected,Immediately garbage collected,Prevents garbage collection
"What is the output?
class Outer {
    int x = 5;
    class Inner {
        int x = 10;
        void display() {
            System.out.println(Outer.this.x);
        }
    }
}",5,10,15,Compilation error
"Which statement about object creation is correct?",Constructor is called after memory allocation,Memory is allocated after constructor runs,new keyword only calls constructor,Objects can be created without new
"What is the result?
class Test {
    int x;
    Test(int x) {
        this.x = x;
    }
}
Test t = new Test(5);
System.out.println(t.x);",5,0,Compilation error,NullPointerException
"What happens with circular references?
class A { B b; }
class B { A a; }
A a = new A();
B b = new B();
a.b = b;
b.a = a;
a = null;
b = null;",Both objects eligible for GC,Neither object can be GC'd,Only A is eligible for GC,Only B is eligible for GC
"Which is true about static nested classes?",Cannot access non-static members of outer class,Can access all members of outer class,Require outer class instance,Are instance members of outer class
"What is the output?
class Test {
    static int x = 10;
}
Test t1 = new Test();
Test t2 = new Test();
t1.x = 20;
System.out.println(t2.x);",20,10,30,Compilation error
"What happens when creating object of abstract class?",Compilation error,Creates object normally,Creates null reference,Runtime error
"Which statement about object equality is true?",== compares references,== compares object content,equals() always compares references,new objects with same values have == true
"What is the result?
class Box {
    int size = 10;
}
Box b1 = new Box();
Box b2 = b1;
b1 = null;
System.out.println(b2.size);",10,NullPointerException,Compilation error,0
"What happens with lambda expressions?",Create instances of functional interfaces,Create new classes,Cannot be instantiated,Are static nested classes
"Which is true about object initialization?",Instance variables initialized before constructor body,Constructor runs before instance initialization,Static variables initialized last,Final variables cannot be initialized in constructor
"What is the output?
class Test {
    {
        System.out.println(""Block"");
    }
    Test() {
        System.out.println(""Constructor"");
    }
}
new Test();",Block Constructor,Constructor Block,Constructor,Block
