Question,Correct Answer,Wrong Answer 1,Wrong Answer 2,Wrong Answer 3
"What is the output?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        int[] arr = {1, 2, 3};
        System.out.println(arr.length);
    }
}",3,4,2,Compilation error
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        int[] arr = new int[3];
        System.out.println(arr[0]);
    }
}",0,null,Compilation error,ArrayIndexOutOfBoundsException
"What is the output?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        String[] arr = new String[2];
        System.out.println(arr[0]);
    }
}",null,0,"""",Compilation error
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        int[] arr = {1, 2, 3, 4, 5};
        System.out.println(arr[2]);
    }
}",3,2,4,Compilation error
"What is the output?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        List<String> list = new ArrayList<>();
        list.add(""A"");
        list.add(""B"");
        System.out.println(list.size());
    }
}",2,1,3,Compilation error
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        List<String> list = new ArrayList<>();
        list.add(""A"");
        System.out.println(list.get(0));
    }
}",A,0,null,Compilation error
"What is the output?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        int[] arr = {3, 1, 2};
        Arrays.sort(arr);
        System.out.println(arr[0]);
    }
}",1,3,2,Compilation error
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        int[] arr = {1, 2, 3, 4, 5};
        Arrays.sort(arr);
        System.out.println(Arrays.binarySearch(arr, 3));
    }
}",2,3,1,Compilation error
"What is the output?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        Set<String> set = new HashSet<>();
        set.add(""A"");
        set.add(""A"");
        System.out.println(set.size());
    }
}",1,2,0,Compilation error
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        Map<String, Integer> map = new HashMap<>();
        map.put(""A"", 1);
        map.put(""A"", 2);
        System.out.println(map.get(""A""));
    }
}",2,1,3,null
"What is the output?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        List<String> list = List.of(""A"", ""B"", ""C"");
        System.out.println(list.size());
    }
}",3,2,4,Compilation error
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        List<String> list = List.of(""A"", ""B"");
        list.add(""C"");
    }
}",UnsupportedOperationException at runtime,Compilation error,No output,ABC
"What is the output?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        int[][] arr = {{1, 2}, {3, 4}};
        System.out.println(arr[1][0]);
    }
}",3,1,2,4
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        List<Integer> list = new ArrayList<>();
        list.add(10);
        list.add(20);
        list.remove(0);
        System.out.println(list.get(0));
    }
}",20,10,0,IndexOutOfBoundsException
"What is the output?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        Queue<String> queue = new LinkedList<>();
        queue.offer(""A"");
        queue.offer(""B"");
        System.out.println(queue.poll());
    }
}",A,B,AB,null
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        Deque<String> deque = new ArrayDeque<>();
        deque.push(""A"");
        deque.push(""B"");
        System.out.println(deque.pop());
    }
}",B,A,AB,null
"What is the output?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        int[] arr = {1, 2, 3};
        Arrays.fill(arr, 0);
        System.out.println(arr[1]);
    }
}",0,1,2,Compilation error
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        List<String> list = new ArrayList<>(List.of(""A"", ""B"", ""C""));
        list.set(1, ""X"");
        System.out.println(list.get(1));
    }
}",X,B,A,Compilation error
"What is the output?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        Map<String, String> map = Map.of(""A"", ""1"", ""B"", ""2"");
        System.out.println(map.size());
    }
}",2,1,3,Compilation error
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        Set<Integer> set = Set.of(1, 2, 3);
        System.out.println(set.contains(2));
    }
}",true,false,2,Compilation error
"What is the output?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        int[] arr1 = {1, 2, 3};
        int[] arr2 = {1, 2, 3};
        System.out.println(Arrays.equals(arr1, arr2));
    }
}",true,false,Compilation error,ClassCastException
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        List<String> list = new ArrayList<>();
        list.add(""A"");
        list.add(""B"");
        System.out.println(list.indexOf(""B""));
    }
}",1,0,2,Compilation error
"What is the output?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        int[] arr = Arrays.copyOf(new int[]{1, 2, 3}, 5);
        System.out.println(arr.length);
    }
}",5,3,4,Compilation error
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        List<String> list = Arrays.asList(""A"", ""B"", ""C"");
        list.set(0, ""X"");
        System.out.println(list.get(0));
    }
}",X,A,Compilation error,UnsupportedOperationException
"What is the output?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        List<String> list = Arrays.asList(""A"", ""B"", ""C"");
        list.add(""D"");
    }
}",UnsupportedOperationException at runtime,Compilation error,ABCD,No output
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        Set<String> set = new TreeSet<>();
        set.add(""C"");
        set.add(""A"");
        set.add(""B"");
        System.out.println(set.iterator().next());
    }
}",A,C,B,Compilation error
"What is the output?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        Map<String, Integer> map = new TreeMap<>();
        map.put(""C"", 3);
        map.put(""A"", 1);
        map.put(""B"", 2);
        System.out.println(map.keySet().iterator().next());
    }
}",A,C,B,Compilation error
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        List<Integer> list = new ArrayList<>(List.of(3, 1, 2));
        Collections.sort(list);
        System.out.println(list.get(0));
    }
}",1,3,2,Compilation error
"What is the output?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        List<String> list = new ArrayList<>(List.of(""A"", ""B"", ""C""));
        Collections.reverse(list);
        System.out.println(list.get(0));
    }
}",C,A,B,Compilation error
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        PriorityQueue<Integer> pq = new PriorityQueue<>();
        pq.offer(3);
        pq.offer(1);
        pq.offer(2);
        System.out.println(pq.poll());
    }
}",1,3,2,Compilation error
"What is the output?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        Map<String, Integer> map = new HashMap<>();
        map.put(""A"", 1);
        System.out.println(map.containsKey(""A""));
    }
}",true,false,1,Compilation error
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        Map<String, Integer> map = new HashMap<>();
        map.put(""A"", 1);
        System.out.println(map.containsValue(1));
    }
}",true,false,A,Compilation error
"What is the output?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        List<Integer> list = new ArrayList<>();
        list.add(1);
        list.add(2);
        list.add(3);
        System.out.println(Collections.max(list));
    }
}",3,1,2,Compilation error
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        List<Integer> list = List.of(1, 2, 3, 2, 1);
        System.out.println(Collections.frequency(list, 2));
    }
}",2,1,3,Compilation error
"What is the output?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        int[] arr = {1, 2, 3, 4, 5};
        System.out.println(Arrays.stream(arr).sum());
    }
}",15,5,10,Compilation error
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        List<String> list = new ArrayList<>(List.of(""A"", ""B"", ""C""));
        list.removeIf(s -> s.equals(""B""));
        System.out.println(list.size());
    }
}",2,3,1,Compilation error
"What is the output?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        List<String> list = new ArrayList<>(List.of(""a"", ""b"", ""c""));
        list.replaceAll(String::toUpperCase);
        System.out.println(list.get(0));
    }
}",A,a,ABC,Compilation error
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        Map<String, Integer> map = new HashMap<>();
        map.putIfAbsent(""A"", 1);
        map.putIfAbsent(""A"", 2);
        System.out.println(map.get(""A""));
    }
}",1,2,3,null
"What is the output?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        int[] arr1 = {1, 2, 3};
        int[] arr2 = Arrays.copyOfRange(arr1, 1, 3);
        System.out.println(arr2.length);
    }
}",2,3,1,Compilation error
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        List<String> list = new ArrayList<>(List.of(""A"", ""B"", ""C""));
        List<String> subList = list.subList(1, 3);
        System.out.println(subList.size());
    }
}",2,3,1,Compilation error
"What is the output?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        Deque<Integer> deque = new ArrayDeque<>();
        deque.addFirst(1);
        deque.addLast(2);
        System.out.println(deque.getFirst());
    }
}",1,2,12,Compilation error
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        Map<String, Integer> map = new HashMap<>();
        map.computeIfAbsent(""A"", k -> 1);
        System.out.println(map.get(""A""));
    }
}",1,null,A,Compilation error
"What is the output?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        Map<String, Integer> map = new HashMap<>();
        map.put(""A"", 1);
        map.compute(""A"", (k, v) -> v + 1);
        System.out.println(map.get(""A""));
    }
}",2,1,3,Compilation error
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        Map<String, Integer> map = new HashMap<>();
        map.put(""A"", 1);
        map.merge(""A"", 2, Integer::sum);
        System.out.println(map.get(""A""));
    }
}",3,1,2,Compilation error
"What is the output?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        List<String> list = new LinkedList<>();
        list.add(""A"");
        list.add(""B"");
        ((LinkedList<String>)list).addFirst(""C"");
        System.out.println(list.get(0));
    }
}",C,A,B,Compilation error
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        Set<String> set = new LinkedHashSet<>();
        set.add(""C"");
        set.add(""A"");
        set.add(""B"");
        System.out.println(set.iterator().next());
    }
}",C,A,B,Compilation error
"What is the output?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        int[] arr = {1, 2, 3, 4, 5};
        int result = Arrays.binarySearch(arr, 6);
        System.out.println(result < 0);
    }
}",true,false,6,Compilation error
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        List<Integer> list = new ArrayList<>();
        list.add(10);
        list.add(20);
        list.add(1, 15);
        System.out.println(list.get(1));
    }
}",15,10,20,Compilation error
"What is the output?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        Map<Integer, String> map = new HashMap<>();
        map.put(1, ""A"");
        map.put(2, ""B"");
        System.out.println(map.values().size());
    }
}",2,1,3,Compilation error
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        Map<String, Integer> map = new HashMap<>();
        map.put(""A"", 1);
        map.put(""B"", 2);
        System.out.println(map.keySet().size());
    }
}",2,1,3,Compilation error
"What is the output?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        List<String> list = new ArrayList<>();
        System.out.println(list.isEmpty());
    }
}",true,false,0,Compilation error
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        int[] arr = new int[]{1, 2, 3};
        int[] copy = arr.clone();
        System.out.println(copy.length);
    }
}",3,2,1,Compilation error
"What is the output?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        List<String> list1 = List.of(""A"", ""B"");
        List<String> list2 = List.of(""C"", ""D"");
        System.out.println(Collections.disjoint(list1, list2));
    }
}",true,false,Compilation error,AB
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        int[][] arr = new int[2][3];
        System.out.println(arr.length);
    }
}",2,3,6,Compilation error
"What is the output?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        int[][] arr = new int[2][3];
        System.out.println(arr[0].length);
    }
}",3,2,6,Compilation error
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        List<Integer> list = new ArrayList<>(List.of(1, 2, 3));
        list.clear();
        System.out.println(list.size());
    }
}",0,3,1,Compilation error
"What is the output?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        Map<String, Integer> map = new HashMap<>();
        map.put(""A"", 1);
        map.remove(""A"");
        System.out.println(map.size());
    }
}",0,1,2,Compilation error
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        Queue<String> queue = new PriorityQueue<>();
        queue.offer(""C"");
        queue.offer(""A"");
        queue.offer(""B"");
        System.out.println(queue.peek());
    }
}",A,C,B,null
"What is the output?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        List<String> list = new ArrayList<>(List.of(""A"", ""B"", ""C""));
        Iterator<String> it = list.iterator();
        it.next();
        it.remove();
        System.out.println(list.size());
    }
}",2,3,1,Compilation error
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        int[] arr1 = {1, 2, 3};
        int[] arr2 = {1, 2, 4};
        System.out.println(Arrays.compare(arr1, arr2));
    }
}","-1 (or negative)",0,1,Compilation error
"What is the output?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        int[] arr1 = {1, 2, 3};
        int[] arr2 = {1, 2, 3};
        System.out.println(Arrays.mismatch(arr1, arr2));
    }
}","-1 (or negative)",0,1,Compilation error
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        List<String> list = new ArrayList<>(List.of(""A"", ""B"", ""C""));
        ListIterator<String> it = list.listIterator(list.size());
        System.out.println(it.hasPrevious());
    }
}",true,false,Compilation error,3
"What is the output?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        Map<String, Integer> map = new HashMap<>();
        map.put(""A"", 1);
        for (Map.Entry<String, Integer> entry : map.entrySet()) {
            System.out.println(entry.getValue());
        }
    }
}",1,A,Compilation error,null
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        List<Integer> list = new ArrayList<>(List.of(1, 2, 3));
        list.sort(Comparator.reverseOrder());
        System.out.println(list.get(0));
    }
}",3,1,2,Compilation error
"What is the output?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        String[] arr = {""A"", ""B"", ""C""};
        Arrays.sort(arr, Comparator.reverseOrder());
        System.out.println(arr[0]);
    }
}",C,A,B,Compilation error
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        List<String> list = new ArrayList<>();
        list.add(null);
        System.out.println(list.get(0));
    }
}",null,Compilation error,NullPointerException,0
"What is the output?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        Set<String> set = new HashSet<>();
        set.add(null);
        System.out.println(set.size());
    }
}",1,0,NullPointerException,Compilation error
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        Map<String, String> map = new HashMap<>();
        map.put(null, ""A"");
        System.out.println(map.get(null));
    }
}",A,null,Compilation error,NullPointerException
"What is the output?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        int[] arr = {1, 2, 3};
        List<Integer> list = Arrays.stream(arr).boxed().toList();
        System.out.println(list.size());
    }
}",3,2,1,Compilation error
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        List<String> list = new ArrayList<>(List.of(""A"", ""B"", ""C""));
        String[] arr = list.toArray(new String[0]);
        System.out.println(arr.length);
    }
}",3,0,2,Compilation error
