Question,Correct Answer,Wrong Answer 1,Wrong Answer 2,Wrong Answer 3
"What is the output?
class MyRunnable implements Runnable {
  public void run() {
    System.out.println(""Running"");
  }
}
Thread t = new Thread(new MyRunnable());
t.start();",Running (on separate thread),Error: no main method,Running (on main thread),Compilation error
"What is the output?
Runnable r = () -> System.out.println(""Hello"");
new Thread(r).start();",Hello,Error: invalid lambda,No output,Compilation error
What method must be implemented by the Runnable interface?,run(),start(),execute(),call()
What is the return type of the run() method in Runnable?,void,Object,String,int
What method must be implemented by the Callable interface?,call(),run(),execute(),get()
What is the return type of the call() method in Callable<String>?,String,void,Object,Integer
Does the Callable.call() method throw checked exceptions?,Yes,No,Only RuntimeException,Only in Java 17
Does the Runnable.run() method throw checked exceptions?,No,Yes,Only IOException,Only in Java 17
"What is the output?
Thread t = new Thread(() -> System.out.println(""Test""));
t.run();
System.out.println(""Main"");",Test Main (both on main thread),Test Main (Test on separate thread),Main Test,Compilation error
"What is the output?
Thread t = new Thread(() -> System.out.println(""Test""));
t.start();
System.out.println(""Main"");",Output order varies (Main or Test first),Always Test Main,Always Main Test,Compilation error
What states can a thread be in?,NEW RUNNABLE BLOCKED WAITING TIMED_WAITING TERMINATED,NEW RUNNING STOPPED,CREATED ACTIVE SUSPENDED ENDED,READY EXECUTING PAUSED FINISHED
What is the initial state of a newly created thread?,NEW,RUNNABLE,READY,CREATED
What state is a thread in after start() is called?,RUNNABLE,RUNNING,ACTIVE,STARTED
What state is a thread in after it completes execution?,TERMINATED,DEAD,FINISHED,COMPLETED
Can you call start() twice on the same thread?,No (throws IllegalThreadStateException),Yes,Only if thread is terminated,Only in Java 17
"What is the output?
Thread t = new Thread(() -> System.out.println(""Hello""));
t.start();
t.start();",IllegalThreadStateException,Hello Hello,Hello (once),Compilation error
What method pauses the current thread for a specified time?,Thread.sleep(millis),Thread.pause(millis),Thread.wait(millis),Thread.delay(millis)
Does Thread.sleep() release locks?,No,Yes,Only synchronized locks,Only ReentrantLocks
Does Object.wait() release locks?,Yes,No,Only synchronized locks,Only after timeout
What exception does Thread.sleep() throw?,InterruptedException,SleepException,ThreadException,IllegalStateException
