Question,Correct Answer,Wrong Answer 1,Wrong Answer 2,Wrong Answer 3
"What is the output?
List<Integer> list = List.of(1, 2, 3, 4, 5);
list.stream()
    .filter(n -> n > 2)
    .forEach(System.out::print);",345,12345,123,Compilation error
"Which is a valid lambda expression?
Function<String, Integer> f = ?",s -> s.length(),(s) -> { return s.length(); },Both A and B,String s -> return s.length();
"What is the result?
Stream<String> stream = Stream.of(""A"", ""B"", ""C"");
long count = stream.count();
System.out.println(count);",3,0,ABC,Compilation error
"What happens with this code?
List<Integer> list = List.of(1, 2, 3);
list.stream()
    .filter(n -> n > 5)
    .forEach(System.out::println);",Nothing is printed,123,Compilation error,NullPointerException
"Which functional interface has test() method?",Predicate,Function,Supplier,Consumer
"What is the output?
IntStream.range(1, 4)
    .forEach(System.out::print);",123,1234,012,Compilation error
"What is the result?
List<String> list = List.of(""a"", ""b"", ""c"");
list.stream()
    .map(String::toUpperCase)
    .forEach(System.out::print);",ABC,abc,Compilation error,A B C
"What happens with Stream.generate()?
Stream.generate(() -> ""X"")
    .limit(3)
    .forEach(System.out::print);",XXX,X,Infinite loop,Compilation error
"Which operation is terminal?",forEach(),filter(),map(),sorted()
"What is the output?
List<Integer> list = List.of(3, 1, 2);
list.stream()
    .sorted()
    .forEach(System.out::print);",123,312,321,Compilation error
"What is the result?
Stream<Integer> stream = Stream.of(1, 2, 3);
stream.forEach(System.out::println);
stream.forEach(System.out::println);",IllegalStateException (stream already operated upon),123 printed twice,Compilation error,Nothing printed
"What happens with flatMap()?
List<List<Integer>> list = List.of(List.of(1, 2), List.of(3, 4));
list.stream()
    .flatMap(List::stream)
    .forEach(System.out::print);",1234,"[[1, 2], [3, 4]]",Compilation error,12 34
"Which creates an IntStream?","IntStream.of(1, 2, 3)","Stream.of(1, 2, 3)","new IntStream(1, 2, 3)","IntStream.create(1, 2, 3)"
"What is the output?
List<Integer> list = List.of(1, 2, 2, 3);
list.stream()
    .distinct()
    .forEach(System.out::print);",123,1223,12,Compilation error
