Question,Correct Answer,Wrong Answer 1,Wrong Answer 2,Wrong Answer 3
What method creates a parallel stream from a collection?,parallelStream(),parallel(),asParallel(),toParallelStream()
"What is the output?
List<Integer> list = Arrays.asList(1, 2, 3, 4);
list.parallelStream().forEach(System.out::print);",Output order is unpredictable,1234,4321,Compilation error
"What is the output?
List<Integer> list = Arrays.asList(1, 2, 3, 4);
list.parallelStream().forEachOrdered(System.out::print);",1234,Output order is unpredictable,4321,Compilation error
What method converts sequential stream to parallel?,parallel(),parallelStream(),toParallel(),makeParallel()
What method converts parallel stream to sequential?,sequential(),stream(),toSequential(),makeSequential()
"What is the result?
Stream<Integer> stream = Stream.of(1, 2, 3, 4).parallel();
boolean isParallel = stream.isParallel();",true,false,Error: no such method,Depends on system
"What is the output?
List<Integer> list = Arrays.asList(1, 2, 3, 4, 5);
int sum = list.parallelStream().reduce(0, (a, b) -> a + b);
System.out.println(sum);",15,Unpredictable,0,Error: not thread-safe
"What is the output?
List<Integer> list = Arrays.asList(1, 2, 3, 4, 5);
int sum = list.parallelStream().reduce(0, Integer::sum);
System.out.println(sum);",15,Unpredictable,0,Error: not thread-safe
Is reduce() operation safe with parallel streams?,Yes (if associative and stateless),No,Only with identity,Only for primitive streams
"What is the problem with this code?
List<Integer> list = Arrays.asList(1, 2, 3, 4, 5);
List<Integer> result = new ArrayList<>();
list.parallelStream().forEach(result::add);",Not thread-safe (ConcurrentModificationException or incorrect results),Works correctly,Compilation error,Always throws exception
"What is the correct way to collect in parallel?
List<Integer> list = Arrays.asList(1, 2, 3, 4, 5);",list.parallelStream().collect(Collectors.toList()),list.parallelStream().forEach(result::add),list.parallelStream().toList(),list.parallelStream().addAll()
What pool executes parallel streams by default?,ForkJoinPool.commonPool(),ThreadPoolExecutor,ExecutorService,Custom thread pool
How many threads does common pool use by default?,Number of available processors - 1,Number of available processors,Fixed 10 threads,Unlimited threads
Can you specify custom ForkJoinPool for parallel stream?,Yes (by submitting task to pool),No,Only in Java 17,Only with configuration
"What is the output?
System.out.println(Runtime.getRuntime().availableProcessors());
// On a 4-core system",4,3,8,1
Are parallel streams always faster than sequential?,No,Yes,Only for large datasets,Only for small datasets
When are parallel streams beneficial?,Large datasets with CPU-intensive operations,Small datasets,I/O operations,Always
When should you avoid parallel streams?,Small datasets or I/O-bound operations,Large datasets,CPU-intensive operations,Never
"What is the result?
List<Integer> list = Arrays.asList(1, 2, 3);
list.parallelStream().map(n -> n * 2).forEach(System.out::print);",Order unpredictable: any permutation of 2 4 6,2 4 6 in order,6 4 2,Compilation error
"What is the result?
List<Integer> list = Arrays.asList(1, 2, 3);
List<Integer> result = list.parallelStream().map(n -> n * 2).collect(Collectors.toList());
// Is order preserved?",Yes (order preserved in collect),No,Only if small dataset,Only if sequential
Does filter() preserve order in parallel streams?,Yes (when collected),No,Only if sorted,Only if small dataset
Does map() preserve order in parallel streams?,Yes (when collected),No,Only if stateless,Only if small dataset
Does sorted() work correctly with parallel streams?,Yes,No,Only with comparator,Only if small dataset
"What is the output?
List<Integer> list = Arrays.asList(3, 1, 2);
list.parallelStream().sorted().forEachOrdered(System.out::print);",123,321,Order unpredictable,Compilation error
What is a stateless operation?,Operation that doesn't depend on external state,Operation without return value,Operation that's immutable,Operation that's synchronized
What is a stateful operation?,Operation that depends on or modifies state,Operation with return value,Operation that's mutable,Operation that's unsynchronized
