Question,Correct Answer,Wrong Answer 1,Wrong Answer 2,Wrong Answer 3
What is Collections.emptyList()?,Returns immutable empty list,Returns new ArrayList,Returns null,Returns list with null
What is Collections.singletonList()?,Returns immutable list with one element,Returns ArrayList with one element,Returns List.of(),Same as Arrays.asList()
What is Collections.unmodifiableList()?,Returns unmodifiable view,Returns copy,Makes list final,Returns immutable list
Does unmodifiable view prevent modification of original?,No,Yes,Only additions,Only removals
What happens if you modify unmodifiable collection?,UnsupportedOperationException,Nothing,Compilation error,Silent failure
What is difference between unmodifiable and immutable?,"Unmodifiable is view,  immutable is independent",Same thing,Immutable is view,No difference
What does List.copyOf() create?,Unmodifiable copy,Modifiable copy,View,Reference
Can List.copyOf() contain null?,No (throws NPE),Yes,Only one,Only if source allows
What is Collections.nCopies()?,Creates immutable list with n copies of element,Creates n separate objects,Creates ArrayList,Copies collection n times
What is Stack class?,Legacy LIFO collection extending Vector,Modern stack,Queue implementation,Deque implementation
Should you use Stack class?,No (use ArrayDeque),Yes,Only for legacy,Always
What does Stack.push() do?,Adds element to top,Removes from top,Returns top,Clears stack
What does Stack.pop() do?,Removes and returns top element,Adds element,Returns without removal,Clears stack
What does Stack.peek() do?,Returns top without removal,Removes top,Adds element,Returns size
Is Stack thread-safe?,Yes (extends Vector),No,Only push,Only pop
What is EnumSet?,Specialized Set for enum types,Regular set,Hash set,Tree set
What is EnumSet backed by?,Bit vector,Hash table,Array,Tree
Is EnumSet thread-safe?,No,Yes,Only operations,Only iteration
Can EnumSet contain null?,No,Yes,One null,With comparator
What is EnumMap?,Specialized Map for enum keys,Regular map,Hash map,Tree map
What is EnumMap backed by?,Array,Hash table,Tree,Linked nodes
Is EnumMap thread-safe?,No,Yes,Only put,Only get
Can EnumMap have null key?,No,Yes,One null,Multiple nulls
Can EnumMap have null value?,Yes,No,One null,Only with key
What is WeakHashMap?,Map with weak keys for garbage collection,Regular HashMap,Strong references,Immutable map
When are WeakHashMap entries removed?,When key is only weakly reachable,Never,Manually,When value is null
What is IdentityHashMap?,Map using == for key comparison,Map using equals(),Hash map,Tree map
What does IdentityHashMap use for hashing?,System.identityHashCode(),hashCode(),equals(),compareTo()
What is Properties class?,String-based map for configuration,Regular map,Immutable map,Sorted map
What does Properties extend?,Hashtable,HashMap,Map,Object
Can Properties have non-String keys/values?,Technically yes but discouraged,No,Only keys,Only values
What is BitSet?,Set of bits,Set of integers,Boolean array,Byte array
What is BitSet used for?,Efficient storage of boolean flags,Number storage,String storage,Object storage
What is difference between array and ArrayList?,"Array is fixed size,  ArrayList is dynamic",Same thing,ArrayList is faster,Array is dynamic
Can array use generics?,No,Yes,Only objects,Only primitives
Can ArrayList hold primitives?,No (uses wrappers),Yes,Only int,Only boolean
What is autoboxing in collections?,Automatic primitive to wrapper conversion,Manual conversion,Type casting,Generic inference
What is performance cost of autoboxing?,Object creation overhead,None,Faster,Compilation time
What are specialized primitive collections?,"Not in standard library (use third-party), IntList", DoubleSet,Array only,Wrapper collections
What is ArrayList initial capacity?,10 (default constructor),0,16,1
How do you set ArrayList initial capacity?,Pass to constructor,After creation,Automatically,Cannot set
