Question,Correct Answer,Wrong Answer 1,Wrong Answer 2,Wrong Answer 3
What is the condition type in if statement?,boolean,int,String,Any type
Can if statement have empty body?,Yes (with semicolon),No,Only with braces,Only in Java 17
Are braces required for single statement if?,No (but recommended),Yes,Only in Java 17,Only for else
What is the ternary operator syntax?,condition ? expr1 : expr2,condition ? expr1 expr2,if condition then expr1 else expr2,condition : expr1 ? expr2
What does ternary operator return?,A value,void,boolean,Statement
Can ternary operator be used as statement?,No (must be used in expression),Yes,Only with semicolon,Only in Java 17
What happens if if condition is not boolean?,Compilation error,Runtime error,False assumed,True assumed
Can you assign in if condition?,Yes (if result is boolean),No,Only primitives,Only objects
What is else-if?,Chained conditional,Separate statement,Loop construct,Switch alternative
Must else-if come before else?,Yes,No,Optional,Same level
Can you have multiple else blocks?,No,Yes,Only two,Only in Java 17
Can you have else without if?,No,Yes,Only in Java 17,With braces
What is a switch statement?,Multi-way branch statement,Loop,Conditional,Function
What types can switch use in Java 17?,"byte, short, int, char, String, enum",Only int,Only String,Any type
Can switch use long?,No,Yes,Only in Java 17,Only primitive long
Can switch use boolean?,No,Yes,Only in Java 17,Only as String
Can switch use float?,No,Yes,Only in Java 17,Only as String
Can switch use double?,No,Yes,Only in Java 17,Only as String
What keyword marks switch cases?,case,when,if,match
What is default case?,Case when no match found,First case,Last case,Error case
Is default case required?,No,Yes,Only in expressions,Only without break
Can default be anywhere in switch?,Yes,No,Only first,Only last
What happens without break in switch?,Fall-through to next case,Exit switch,Compilation error,Runtime error
What is fall-through?,Execution continues to next case,Exit switch,Go to default,Error
Is fall-through intentional?,Can be (but often a bug),Always intentional,Never intentional,Always error
Can case values be variables?,No (must be compile-time constants),Yes,Only final,Only static
Can case values be null?,No (except in patterns),Yes,Only String,Only in expressions
Can case values duplicate?,No,Yes,Only in different switches,Only in Java 17
What is a switch expression?,Switch that returns a value,Traditional switch,Switch statement,Loop construct
When were switch expressions introduced?,"Java 12 (preview),  Java 14 (standard)",Java 8,Java 11,Java 17
What operator do switch expressions use?,-> (arrow),: (colon),= (equals),=> (fat arrow)
Do switch expressions require break?,No,Yes,Only with colon,Only traditional syntax
Must switch expressions be exhaustive?,Yes,No,Only with return,Only in Java 17
What does exhaustive mean?,All possible values covered,Has default,Has break,Complete
Can switch expression use colon syntax?,Yes (with yield),No,Only arrow,Only in Java 17
What keyword returns value in colon-style case?,yield,return,break,give
When was yield introduced?,Java 13,Java 12,Java 14,Java 17
Can yield be used in switch statement?,Yes,No,Only expressions,Only Java 17
Can you mix arrow and colon syntax?,No,Yes,Only in Java 17,With yield
What does switch expression return if no match and no default?,Compilation error,null,Exception,undefined
Can switch expression return void?,No,Yes,Only with arrow,Only with yield
What is a for loop?,Counter-controlled loop,Condition loop,Infinite loop,Switch loop
What are the three parts of for loop?,Initialization; condition; update,Condition; update; initialization,Only condition,Start; end; step
Can for loop parts be empty?,Yes (all can be empty),No,Only condition,Only initialization
What does empty for loop do?,Infinite loop,Compilation error,Nothing,One iteration
What does for(;;) represent?,Infinite loop,Syntax error,Empty loop,One iteration
Can you declare multiple variables in for initialization?,Yes (same type),No,Only two,Any types
Can you have multiple expressions in for update?,Yes (comma-separated),No,Only two,With semicolon
