Question,Correct Answer,Wrong Answer 1,Wrong Answer 2,Wrong Answer 3
What are the main ways to create a worker thread?,Implement Runnable or Callable,Extend Thread only,Use ExecutorService only,Implement Executable
Which interface is used for tasks that don't return results?,Runnable,Callable,Future,Task
Which interface is used for tasks that return results?,Callable,Runnable,Future,ReturnableTask
What is the Runnable method signature?,void run(),Object run(),void execute(),Result run()
What is the Callable method signature?,V call() throws Exception,V call(),void call(),Object call()
Can Runnable throw checked exceptions?,No,Yes,Only IOException,Only in Java 17
Can Callable throw checked exceptions?,Yes,No,Only RuntimeException,Only in call()
Does Runnable return a value?,No,Yes,Only with Future,Only with submit()
Does Callable return a value?,Yes,No,Only with get(),Only with Future
"How do you create a thread with Runnable?",new Thread(runnable).start(),new Thread().start(),runnable.start(),Thread.execute(runnable)
Can you use lambda for Runnable?,Yes (functional interface),No,Only in Java 17,Only named classes
Can you use lambda for Callable?,Yes (functional interface),No,Only in Java 17,Only named classes
What are the thread lifecycle states?,NEW, RUNNABLE, BLOCKED, WAITING, TIMED_WAITING, TERMINATED,Only NEW and TERMINATED,Only RUNNING and STOPPED,NEW, RUNNING, TERMINATED
What is the initial state of a thread?,NEW,RUNNABLE,READY,INITIALIZED
What state is a thread in after start()?,RUNNABLE,RUNNING,STARTED,ACTIVE
What state is a thread waiting for a lock?,BLOCKED,WAITING,RUNNABLE,LOCKED
What state is a thread calling wait()?,WAITING,BLOCKED,RUNNABLE,PAUSED
What state is a thread calling sleep()?,TIMED_WAITING,WAITING,BLOCKED,SLEEPING
What is the final state of a thread?,TERMINATED,DEAD,STOPPED,FINISHED
Can a thread return from TERMINATED state?,No,Yes,Only with restart(),Only daemon threads
Which method returns thread state?,getState(),state(),getStatus(),status()
What type does getState() return?,Thread.State,String,int,ThreadState
Can you restart a terminated thread?,No,Yes,Only new Thread,Only with reset()
Which ExecutorService uses fixed number of threads?,FixedThreadPool,CachedThreadPool,SingleThreadExecutor,ScheduledThreadPool
Which ExecutorService creates threads as needed?,CachedThreadPool,FixedThreadPool,SingleThreadExecutor,WorkStealingPool
Which ExecutorService uses only one thread?,SingleThreadExecutor,FixedThreadPool(1),Both A and B,Neither
Which ExecutorService supports scheduling?,ScheduledThreadPoolExecutor,FixedThreadPool,CachedThreadPool,SingleThreadExecutor
Which method creates FixedThreadPool?,Executors.newFixedThreadPool(n),new FixedThreadPool(n),ExecutorService.fixed(n),Executors.createFixed(n)
What happens in CachedThreadPool with idle threads?,Terminated after 60 seconds,Never terminated,Terminated immediately,Terminated after 1 minute
How many threads does SingleThreadExecutor use?,Exactly 1,0,Variable,At least 1
What is the benefit of ExecutorService over manual threads?,Thread reuse and management,Faster execution,Less memory,Automatic synchronization
Which method submits Runnable to ExecutorService?,submit() or execute(),run(),start(),perform()
What does ExecutorService.execute() accept?,Runnable,Callable,Both,Future
What does ExecutorService.submit() accept?,Runnable or Callable,Only Callable,Only Runnable,Only Future
What does execute() return?,void,Future<?>,Boolean,Result
What does submit(Runnable) return?,Future<?>,void,Future<Void>,null
What does submit(Callable<T>) return?,Future<T>,T,void,Result<T>
"Can you use submit(Runnable, T)?",Yes (returns Future<T>),No,Only Callable,Only with result
What does the second parameter in submit(Runnable, T) do?,Result to return on completion,Initial value,Thread name,Priority
Which method submits tasks and waits for all?,invokeAll(),submitAll(),executeAll(),waitForAll()
Which method submits tasks and returns first result?,invokeAny(),submitAny(),executeAny(),firstResult()
What does invokeAll() return?,List<Future<T>>,List<T>,Future<List<T>>,Collection<Future<T>>
What does invokeAny() return?,T (first successful result),Future<T>,List<T>,All results
Does invokeAny() wait for all tasks?,No (returns after first),Yes,Sometimes,Only on timeout
Does invokeAll() wait for all tasks?,Yes,No,Only without timeout,Optional
Can invokeAll() have timeout?,Yes,No,Only seconds,Only milliseconds
Can invokeAny() have timeout?,Yes,No,Only seconds,Only milliseconds
What exception if invokeAny() has no successful task?,ExecutionException,NoSuchElementException,TimeoutException,InterruptedException
Which method schedules task once?,schedule(),scheduleOnce(),run(),execute()
Which method schedules task repeatedly with fixed rate?,scheduleAtFixedRate(),schedule(),scheduleRepeatedly(),fixedRate()
Which method schedules with fixed delay between executions?,scheduleWithFixedDelay(),schedule(),fixedDelay(),scheduleRepeatedly()
What's difference between fixed rate and fixed delay?,Rate: from start; Delay: from end,Same thing,Rate faster,Delay faster
Does ScheduledExecutorService extend ExecutorService?,Yes,No,Only in Java 17,Separate interface
What does schedule() return?,ScheduledFuture,Future,void,Task
Can you cancel scheduled task?,Yes (with Future.cancel()),No,Only before execution,Only after execution
Which class is the base implementation of ExecutorService?,ThreadPoolExecutor,ExecutorServiceImpl,BaseExecutor,StandardExecutor
What are ThreadPoolExecutor core parameters?,corePoolSize, maximumPoolSize, keepAliveTime,Only thread count,Only timeout,Size and queue only
What is corePoolSize?,Minimum threads to keep alive,Maximum threads,Initial threads,Default is 1
What is maximumPoolSize?,Maximum threads allowed,Minimum threads,Queue size,Default is 10
What happens when core threads are busy and new task arrives?,Queued,Create new thread,Rejected,Blocks
When are threads created beyond core size?,When queue is full,Immediately,Never,When core is busy
What is keepAliveTime?,Time idle threads wait before termination,Thread lifetime,Task timeout,Schedule interval
