Question,Correct Answer,Wrong Answer 1,Wrong Answer 2,Wrong Answer 3
"What is the output?
int x = 5;
if (x > 3)
    System.out.println(""A"");
else
    System.out.println(""B"");",A,B,AB,Compilation error
"What is the result?
int day = 3;
switch (day) {
    case 1: System.out.println(""Mon"");
    case 2: System.out.println(""Tue"");
    case 3: System.out.println(""Wed"");
    default: System.out.println(""Other"");
}",Wed Other,Wed,Other,Mon Tue Wed Other
"What is the output?
for (int i = 0; i < 3; i++) {
    System.out.print(i + "" "");
}",0 1 2 ,1 2 3 ,0 1 2 3 ,Compilation error
"What happens with this code?
int x = 10;
while (x < 5) {
    System.out.println(x);
    x++;
}",Nothing is printed,10 is printed,Infinite loop,Compilation error
"What is the output?
int i = 0;
do {
    System.out.print(i + "" "");
    i++;
} while (i < 3);",0 1 2 ,1 2 3 ,0 1 2 3 ,Nothing is printed
"Which statement about switch expressions is correct?",They must be exhaustive,They require default in all cases,They cannot use yield,They must have break statements
"What is the result?
for (int i = 0; i < 5; i++) {
    if (i == 3)
        break;
    System.out.print(i + "" "");
}",0 1 2 ,0 1 2 3 ,0 1 2 3 4 ,Compilation error
"What is the output?
for (int i = 0; i < 5; i++) {
    if (i == 2)
        continue;
    System.out.print(i + "" "");
}",0 1 3 4 ,0 1 2 3 4 ,0 1 4 ,1 3 4
"What is the result?
int x = 5;
if (x > 10)
    System.out.println(""A"");
else if (x > 3)
    System.out.println(""B"");
else
    System.out.println(""C"");",B,A,C,ABC
"What happens with nested if-else?
int x = 5, y = 10;
if (x < y)
    if (x > 0)
        System.out.println(""Yes"");
    else
        System.out.println(""No"");",Yes,No,YesNo,Compilation error
"What is the output?
String day = ""MON"";
switch (day) {
    case ""MON"", ""TUE"", ""WED"" -> System.out.println(""Weekday"");
    case ""SAT"", ""SUN"" -> System.out.println(""Weekend"");
}",Weekday,Weekend,Mon,Compilation error
"What is the result?
int count = 0;
while (count < 3) {
    System.out.print(count + "" "");
    count++;
}",0 1 2 ,1 2 3 ,0 1 2 3 ,Infinite loop
"What happens with this for loop?
for (int i = 5; i > 0; i--) {
    System.out.print(i + "" "");
}",5 4 3 2 1 ,0 1 2 3 4 5 ,1 2 3 4 5 ,Compilation error
"What is the output?
int x = 10;
switch (x) {
    case 5:
        System.out.println(""Five"");
        break;
    case 10:
        System.out.println(""Ten"");
        break;
    default:
        System.out.println(""Other"");
}",Ten,Five,Other,FiveTen
"Which is valid in a switch expression?",yield keyword to return values,return keyword to return values,break keyword to return values,continue keyword to return values
"What is the result?
for (int i = 0; i < 2; i++) {
    for (int j = 0; j < 2; j++) {
        System.out.print(i + j + "" "");
    }
}",0 1 1 2 ,0 0 1 1 ,0 1 2 3 ,Compilation error
"What is the output?
int x = 5;
if (x > 3 && x++ < 10)
    System.out.println(x);",6,5,7,Compilation error
"What happens with labeled break?
outer: for (int i = 0; i < 3; i++) {
    for (int j = 0; j < 3; j++) {
        if (j == 1)
            break outer;
        System.out.print(i + """" + j + "" "");
    }
}",00 ,00 10 20 ,00 01 02 ,Compilation error
"What is the result?
int x = 3;
switch (x) {
    case 1, 2, 3 -> System.out.println(""Low"");
    case 4, 5, 6 -> System.out.println(""Mid"");
    default -> System.out.println(""High"");
}",Low,Mid,High,Compilation error
"What is the output?
for (int i = 0; i < 10; i += 2) {
    System.out.print(i + "" "");
}",0 2 4 6 8 ,0 1 2 3 4 5 6 7 8 9 ,2 4 6 8 10 ,Compilation error
