Question,Correct Answer,Wrong Answer 1,Wrong Answer 2,Wrong Answer 3
"What is the output?
List<Integer> list = List.of(1, 2, 3, 4);
int result = list.stream()
    .reduce(0, (a, b) -> a + b);
System.out.println(result);",10,0,1234,Compilation error
"What happens with Stream.concat()?
Stream<String> s1 = Stream.of(""A"", ""B"");
Stream<String> s2 = Stream.of(""C"", ""D"");
Stream.concat(s1, s2).forEach(System.out::print);",ABCD,AB,CD,Compilation error
"What is the result?
List<List<Integer>> list = List.of(List.of(1, 2), List.of(3, 4));
list.stream()
    .flatMap(Collection::stream)
    .forEach(System.out::print);",1234,"[[1,2],[3,4]]",Compilation error,12 34
"What is the output?
List<String> list = List.of(""Java"", ""Python"", ""C++"");
Map<Integer, List<String>> map = list.stream()
    .collect(Collectors.groupingBy(String::length));
System.out.println(map.get(4));","[Java]","[Python]","[C++]",Compilation error
"What happens with partitioningBy()?
List<Integer> list = List.of(1, 2, 3, 4, 5);
Map<Boolean, List<Integer>> map = list.stream()
    .collect(Collectors.partitioningBy(n -> n % 2 == 0));
System.out.println(map.get(true));","[2, 4]","[1, 3, 5]","[1, 2, 3, 4, 5]",Compilation error
"What is the result?
List<Integer> list = List.of(5, 3, 8, 1);
Optional<Integer> max = list.stream()
    .reduce((a, b) -> a > b ? a : b);
System.out.println(max.get());",8,5,1,Optional[8]
"What is the output?
Stream<Integer> s1 = Stream.of(1, 2);
Stream<Integer> s2 = Stream.of(3, 4);
Stream<Integer> s3 = Stream.concat(s1, s2);
System.out.println(s3.count());",4,2,Compilation error,0
"What happens with parallel stream?
List<Integer> list = List.of(1, 2, 3, 4);
int sum = list.parallelStream()
    .reduce(0, (a, b) -> a + b);
System.out.println(sum);",10,0,Result may vary,Compilation error
"What is the result?
List<String> list = List.of(""a"", ""bb"", ""ccc"", ""dd"");
Map<Integer, Long> map = list.stream()
    .collect(Collectors.groupingBy(String::length, Collectors.counting()));
System.out.println(map.get(2));",2,1,bb,Compilation error
"What is the output?
List<Integer> list = List.of(10, 20, 30);
int product = list.stream()
    .reduce(1, (a, b) -> a * b);
System.out.println(product);",6000,60,0,1
"What happens with flatMapToInt()?
List<List<Integer>> list = List.of(List.of(1, 2), List.of(3, 4));
int sum = list.stream()
    .flatMapToInt(l -> l.stream().mapToInt(Integer::intValue))
    .sum();
System.out.println(sum);",10,1234,0,Compilation error
"What is the result?
List<String> list = List.of(""Apple"", ""Banana"", ""Avocado"", ""Berry"");
Map<Character, List<String>> map = list.stream()
    .collect(Collectors.groupingBy(s -> s.charAt(0)));
System.out.println(map.get('A'));","[Apple, Avocado]","[Banana, Berry]","[Apple]",Compilation error
"What is the output?
Stream<String> s1 = Stream.of(""1"", ""2"");
Stream<String> s2 = Stream.of(""3"", ""4"");
long count = Stream.concat(s1, s2)
    .filter(s -> Integer.parseInt(s) > 2)
    .count();
System.out.println(count);",2,4,0,Compilation error
"What happens with reduce() with combiner?
List<Integer> list = List.of(1, 2, 3, 4);
int result = list.parallelStream()
    .reduce(0, (a, b) -> a + b, (a, b) -> a + b);
System.out.println(result);",10,0,Result may vary,Compilation error
"What is the result?
List<Integer> list = List.of(1, 2, 3, 4, 5, 6);
Map<Boolean, List<Integer>> map = list.stream()
    .collect(Collectors.partitioningBy(n -> n > 3));
System.out.println(map.get(false));","[1, 2, 3]","[4, 5, 6]","[1, 2, 3, 4, 5, 6]",Compilation error
"What is the output?
List<String> list = List.of(""A"", ""B"", ""C"");
String result = list.stream()
    .reduce((a, b) -> a + b)
    .orElse("""");
System.out.println(result);",ABC,"""",A,Compilation error
"What happens with parallel stream order?
List<Integer> list = List.of(1, 2, 3);
list.parallelStream()
    .forEachOrdered(System.out::print);",123,Order may vary,321,Compilation error
"What is the result?
Stream<List<Integer>> stream = Stream.of(List.of(1, 2), List.of(3, 4), List.of(5));
stream.flatMap(List::stream)
    .forEach(System.out::print);",12345,"[[1,2],[3,4],[5]]",Compilation error,1 2 3 4 5
"What is the output?
List<String> list = List.of(""Cat"", ""Dog"", ""Cow"", ""Duck"");
Map<Integer, List<String>> map = list.stream()
    .collect(Collectors.groupingBy(String::length));
System.out.println(map.size());",2,4,3,1
"What happens with toMap() collector?
List<String> list = List.of(""A"", ""B"", ""C"");
Map<String, Integer> map = list.stream()
    .collect(Collectors.toMap(s -> s, String::length));
System.out.println(map.get(""A""));",1,A,Compilation error,0
"What is the result?
List<Integer> list = List.of(1, 2, 3);
Optional<Integer> result = list.stream()
    .reduce((a, b) -> a * b);
System.out.println(result.get());",6,123,1,Optional[6]
"What is the output?
IntStream s1 = IntStream.of(1, 2);
IntStream s2 = IntStream.of(3, 4);
IntStream.concat(s1, s2)
    .forEach(System.out::print);",1234,12,34,Compilation error
