Question,Correct Answer,Wrong Answer 1,Wrong Answer 2,Wrong Answer 3
Which method creates a parallel stream from a collection?,parallelStream(),parallel(),concurrentStream(),threadedStream()
Which method converts a sequential stream to parallel?,parallel(),parallelStream(),makeParallel(),asParallel()
Which method converts a parallel stream to sequential?,sequential(),sequentialStream(),makeSequential(),asSequential()
Can you check if a stream is parallel?,Yes (isParallel()),No,Only before operations,Only after terminal operation
Which method checks if stream is parallel?,isParallel(),parallel(),checkParallel(),isSequential()
What is the default ForkJoinPool size?,Number of processors,Fixed at 10,Fixed at 100,Unlimited
Which pool executes parallel streams by default?,Common ForkJoinPool,Custom thread pool,ExecutorService,Fixed thread pool
Can you specify a custom thread pool for parallel streams?,Yes (with workarounds),No,Yes (built-in method),Only in Java 17
Are parallel streams always faster?,No,Yes,Only for large datasets,Only for small datasets
When should you use parallel streams?,Large datasets with CPU-intensive operations,Always,Never,Only small datasets
What is a key requirement for parallel stream operations?,Thread-safety,Synchronization,Volatile variables,Locks
Should operations in parallel streams have side effects?,No,Yes,Sometimes,Only reads
Are stateful operations safe in parallel streams?,No (generally avoid),Yes (always safe),Only sorted(),Only distinct()
Which operation is stateful?,sorted(),map(),filter(),forEach()
Which operation is stateful?,distinct(),map(),filter(),anyMatch()
Which operation is stateless?,map(),sorted(),distinct(),limit()
Which operation is stateless?,filter(),sorted(),distinct(),skip()
Does order matter in parallel streams?,Depends on stream source,Never,Always,Only with sorted()
Are parallel streams ordered by default?,Depends on source,Always ordered,Never ordered,Only Lists
Which method removes ordering constraint?,unordered(),removeOrder(),noOrder(),sequential()
Does unordered() improve parallel performance?,Yes (potentially),No,Always,Never
Which terminal operation maintains encounter order?,forEachOrdered(),forEach(),Both maintain order,Neither maintains order
Does forEach() maintain order in parallel streams?,No,Yes,Sometimes,Only for Lists
Does forEachOrdered() maintain order in parallel streams?,Yes,No,Sometimes,Only for Sets
Which is better for parallel streams: forEach or forEachOrdered?,Depends on ordering needs,forEach,forEachOrdered,Same performance
Can parallel streams process LinkedList efficiently?,No (poor performance),Yes,Better than ArrayList,Same as ArrayList
Which collection is best for parallel streams?,ArrayList,LinkedList,TreeSet,LinkedHashSet
Are Sets ordered in parallel streams?,Depends on Set type,Always,Never,Only TreeSet
Can you use parallel streams with infinite streams?,Yes (with limit),No,Always,Only finite
What happens with limit() in parallel streams?,May process more elements,Processes exactly n elements,Throws exception,Same as sequential
Is findAny() deterministic in parallel streams?,No,Yes,Only for ordered streams,Only for Sets
Is findFirst() deterministic in parallel streams?,Yes,No,Only for ordered streams,Only for Lists
Which is faster in parallel streams: findAny or findFirst?,findAny,findFirst,Same speed,Depends on data
Does skip() work well with parallel streams?,No (poor performance),Yes (excellent),Better than sequential,Same as sequential
Does limit() work well with parallel streams?,No (limits parallelism),Yes (excellent),Better than sequential,Same performance
Which reduce operation is safe in parallel?,reduce(identity, accumulator, combiner),reduce(accumulator),Both,Neither
How many parameters does parallel reduce need?,3 (identity, accumulator, combiner),1,2,4
What is the combiner in reduce()?,Combines partial results,Accumulates elements,Provides identity,Filters elements
Is two-parameter reduce safe for parallel?,No,Yes,Sometimes,Only with commutative operations
What property should reduce accumulator have?,Associative,Commutative,Both A and B,Neither
What property should reduce combiner have?,Associative,Commutative,Both A and B,Neither
Are Collectors thread-safe for parallel streams?,Yes (designed for it),No,Only some,Only Collectors.toList()
Which Collector is most efficient for parallel?,Collectors.toConcurrentMap(),Collectors.toMap(),Collectors.toList(),Collectors.toSet()
What does Collectors.groupingByConcurrent() return?,ConcurrentHashMap,HashMap,TreeMap,LinkedHashMap
Is groupingBy() safe for parallel streams?,Yes,No,Only groupingByConcurrent(),Only with synchronization
Can you use custom collectors with parallel streams?,Yes,No,Only built-in collectors,Only in Java 17
Which collection is thread-safe?,CopyOnWriteArrayList,ArrayList,LinkedList,Vector with synchronization
Which Map is thread-safe?,ConcurrentHashMap,HashMap,TreeMap,LinkedHashMap
Which Set is thread-safe?,CopyOnWriteArraySet,HashSet,TreeSet,LinkedHashSet
