Question,Correct Answer,Wrong Answer 1,Wrong Answer 2,Wrong Answer 3
"What is the result?
class Box<T> {
    private T value;
    void set(T value) {
        this.value = value;
    }
    T get() {
        return value;
    }
}
public class Test {
    public static void main(String[] args) {
        Box<String> box = new Box<>();
        box.set(""Hello"");
        System.out.println(box.get());
    }
}",Hello,Compilation error,null,Runtime error
"What is the result?
class Pair<K, V> {
    private K key;
    private V value;
    Pair(K key, V value) {
        this.key = key;
        this.value = value;
    }
    K getKey() { return key; }
    V getValue() { return value; }
}
public class Test {
    public static void main(String[] args) {
        Pair<String, Integer> p = new Pair<>(""Age"", 25);
        System.out.println(p.getKey() + "" "" + p.getValue());
    }
}",Age 25,25 Age,Compilation error,null null
"What is the result?
class Container<T extends Number> {
    private T value;
    Container(T value) {
        this.value = value;
    }
    T get() { return value; }
}
public class Test {
    public static void main(String[] args) {
        Container<Integer> c = new Container<>(42);
        System.out.println(c.get());
    }
}",42,Compilation error,null,Runtime error
"What is the result?
class Container<T extends Number> {
    private T value;
    Container(T value) {
        this.value = value;
    }
}
public class Test {
    public static void main(String[] args) {
        Container<String> c = new Container<>(""Test"");
    }
}",Compilation error,Test,Runtime error,No output
"What is the result?
import java.util.*;
class Holder<T> {
    private List<T> items = new ArrayList<>();
    void add(T item) {
        items.add(item);
    }
    int size() {
        return items.size();
    }
}
public class Test {
    public static void main(String[] args) {
        Holder<String> h = new Holder<>();
        h.add(""A"");
        h.add(""B"");
        System.out.println(h.size());
    }
}",2,1,0,Compilation error
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        ArrayList<String> list = new ArrayList<>();
        list.add(""A"");
        list.add(""B"");
        list.add(""C"");
        System.out.println(list.size());
    }
}",3,0,1,Compilation error
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        ArrayList<Integer> list = new ArrayList<>();
        list.add(10);
        list.add(20);
        list.add(30);
        System.out.println(list.get(1));
    }
}",20,10,30,Compilation error
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        ArrayList<String> list = new ArrayList<>();
        list.add(""X"");
        list.add(""Y"");
        list.add(0, ""Z"");
        System.out.println(list);
    }
}","[Z, X, Y]","[X, Y, Z]","[X, Z, Y]",Compilation error
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        ArrayList<String> list = new ArrayList<>();
        list.add(""A"");
        list.add(""B"");
        list.remove(0);
        System.out.println(list);
    }
}","[B]","[A]","[A, B]",Compilation error
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        ArrayList<Integer> list = new ArrayList<>();
        list.add(1);
        list.add(2);
        list.add(3);
        System.out.println(list.contains(2));
    }
}",true,false,Compilation error,2
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        TreeSet<Integer> set = new TreeSet<>();
        set.add(30);
        set.add(10);
        set.add(20);
        System.out.println(set);
    }
}","[10, 20, 30]","[30, 10, 20]","[20, 30, 10]",Compilation error
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        TreeSet<String> set = new TreeSet<>();
        set.add(""C"");
        set.add(""A"");
        set.add(""B"");
        System.out.println(set.first());
    }
}",A,C,B,Compilation error
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        TreeSet<Integer> set = new TreeSet<>();
        set.add(5);
        set.add(3);
        set.add(7);
        System.out.println(set.last());
    }
}",7,5,3,Compilation error
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        TreeSet<Integer> set = new TreeSet<>();
        set.add(10);
        set.add(10);
        set.add(20);
        System.out.println(set.size());
    }
}",2,3,1,Compilation error
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        TreeMap<String, Integer> map = new TreeMap<>();
        map.put(""B"", 2);
        map.put(""A"", 1);
        map.put(""C"", 3);
        System.out.println(map.keySet());
    }
}","[A, B, C]","[B, A, C]","[C, B, A]",Compilation error
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        TreeMap<Integer, String> map = new TreeMap<>();
        map.put(3, ""Three"");
        map.put(1, ""One"");
        map.put(2, ""Two"");
        System.out.println(map.firstKey());
    }
}",1,3,2,Compilation error
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        TreeMap<Integer, String> map = new TreeMap<>();
        map.put(10, ""A"");
        map.put(20, ""B"");
        map.put(30, ""C"");
        System.out.println(map.get(20));
    }
}",B,A,C,Compilation error
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        TreeMap<String, Integer> map = new TreeMap<>();
        map.put(""X"", 100);
        map.put(""Y"", 200);
        System.out.println(map.containsKey(""X""));
    }
}",true,false,100,Compilation error
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        ArrayDeque<String> deque = new ArrayDeque<>();
        deque.add(""A"");
        deque.add(""B"");
        deque.add(""C"");
        System.out.println(deque.size());
    }
}",3,0,1,Compilation error
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        ArrayDeque<Integer> deque = new ArrayDeque<>();
        deque.addFirst(1);
        deque.addFirst(2);
        deque.addLast(3);
        System.out.println(deque);
    }
}","[2, 1, 3]","[1, 2, 3]","[3, 2, 1]",Compilation error
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        ArrayDeque<String> deque = new ArrayDeque<>();
        deque.push(""A"");
        deque.push(""B"");
        System.out.println(deque.pop());
    }
}",B,A,Compilation error,"[A, B]"
"What is the result?
import java.util.*;
public class Test {
    public static void main(String[] args) {
        ArrayDeque<Integer> deque = new ArrayDeque<>();
        deque.offer(10);
        deque.offer(20);
        System.out.println(deque.poll());
    }
}",10,20,null,Compilation error
