Question,Correct Answer,Wrong Answer 1,Wrong Answer 2,Wrong Answer 3
Are String objects mutable?,No (immutable),Yes,Sometimes,Only with StringBuilder
Can you modify String after creation?,No (creates new String),Yes,With methods,With operators
What does String concatenation return?,New String,Modified original,void,StringBuilder
Where are String literals stored?,String pool,Heap only,Stack,Permanent generation
What is String interning?,Storing in pool for reuse,Creating String,Modifying String,Deleting String
Which method interns a String?,intern(),pool(),store(),cache()
"What does ""abc"" == ""abc"" return?",true (same pool reference),false,Compilation error,NullPointerException
"What does new String(""abc"") == ""abc"" return?",false (different objects),true,Compilation error,NullPointerException
"What does new String(""abc"").equals(""abc"") return?",true (same content),false,Compilation error,NullPointerException
Which method checks String equality?,equals(),==,compareTo(),compare()
Which method compares String lexicographically?,compareTo(),equals(),==,compare()
What does compareTo() return?,Negative, zero, or positive int,boolean,String,void
"What does ""abc"".compareTo(""abc"") return?",0,true,false,1
"What does ""abc"".compareTo(""def"") return?",Negative number,Positive number,0,Equal
Which method ignores case in comparison?,equalsIgnoreCase(),equals(),compareToIgnoreCase(),Both A and C
What does charAt() return?,char,Character,String,int
What does charAt() require?,Index (int),Character,String,Nothing
What happens if charAt() index is invalid?,StringIndexOutOfBoundsException,ArrayIndexOutOfBoundsException,IndexOutOfBoundsException,Returns null
What does length() return?,Number of characters,Size in bytes,Array length,String
Is String length() zero-based?,No (returns count),Yes,Depends,Index-based
What does substring() return?,New String,Modified original,char[],StringBuilder
What does substring(beginIndex) return?,String from beginIndex to end,Single character,Error,Full string
What does substring(beginIndex, endIndex) include?,beginIndex inclusive, endIndex exclusive,Both inclusive,Both exclusive,beginIndex exclusive
"What does ""hello"".substring(1, 4) return?",ell,hell,ello,hel
Does substring() modify original?,No (immutable),Yes,Sometimes,With assignment
What does indexOf() return?,Index of first occurrence or -1,Always index,Character,boolean
What does indexOf() return if not found?,-1,0,null,Exception
What does lastIndexOf() return?,Index of last occurrence or -1,First occurrence,0,Exception
Can indexOf() search for String?,Yes,No,Only char,Only int
Can indexOf() start from specific index?,Yes (overloaded version),No,Only from start,Only lastIndexOf
What does contains() return?,boolean,int,String,Index
