Question,Correct Answer,Wrong Answer 1,Wrong Answer 2,Wrong Answer 3
"Given the following module-info.java:
module com.example {
    exports com.example.api;
}

What is the result?",Compilation succeeds,Compilation error: missing semicolon,Compilation error: invalid module name,Runtime error
"Given the following module-info.java:
module com.example
    exports com.example.api;
}

What is the result?",Compilation error,Compilation succeeds,Runtime error,Module loads successfully
"Given the following module-info.java:
module com.example {
    exports com.example.api

What is the result?",Compilation error,Compilation succeeds,Runtime error,Module loads successfully
"Given the following module-info.java:
module com.example {
    exports com.example.api;
    exports com.example.api;
}

What is the result?",Compilation error,Compilation succeeds,Runtime error,Module loads successfully
"Given the following module-info.java:
module com.example {
    requires java.base;
}

What is the result?",Compilation succeeds,Compilation error: java.base is implicit,Compilation error: cannot require java.base,Runtime error
"Given the following module-info.java:
module com.example {
    requires com.other;
    requires com.other;
}

What is the result?",Compilation error,Compilation succeeds,Runtime error,Module loads successfully
"Given the following module-info.java:
module com.example {
    opens com.example.internal;
}

What is the result?",Compilation succeeds,Compilation error: invalid syntax,Runtime error,Module cannot be opened
"Given the following module-info.java:
open module com.example {
    exports com.example.api;
}

What is the result?",Compilation succeeds,Compilation error: cannot use both open and exports,Compilation error: invalid syntax,Runtime error
"Given the following module-info.java:
module com.example {
    uses com.example.api.Service;
}

What is the result?",Compilation succeeds,Compilation error: invalid uses directive,Runtime error,Service cannot be used
"Given the following module-info.java:
module com.example {
    provides com.example.api.Service with com.example.impl.ServiceImpl;
}

What is the result?",Compilation succeeds,Compilation error: invalid provides directive,Runtime error,Service cannot be provided
"Given the following module-info.java:
module com.example {
    requires transitive com.other;
}

What is the result?",Compilation succeeds,Compilation error: invalid transitive keyword,Runtime error,Transitive not allowed
"Given the following module-info.java:
module com.example {
    exports com.example.api to com.client;
}

What is the result?",Compilation succeeds,Compilation error: invalid qualified export,Runtime error,Qualified exports not allowed
"Given the following module-info.java:
module com.example {
    opens com.example.internal to java.base;
}

What is the result?",Compilation succeeds,Compilation error: invalid qualified opens,Runtime error,Cannot open to java.base
"Given the following module-info.java:
module 123example {
    exports com.example.api;
}

What is the result?",Compilation error,Compilation succeeds,Runtime error,Module name is valid
"Given the following module-info.java:
module com-example {
    exports com.example.api;
}

What is the result?",Compilation succeeds,Compilation error: hyphens not allowed,Runtime error,Invalid module name
"Given the following module-info.java:
module com.example {
    export com.example.api;
}

What is the result?",Compilation error,Compilation succeeds,Runtime error,Module loads successfully
"Given the following module-info.java:
module com.example {
    require com.other;
}

What is the result?",Compilation error,Compilation succeeds,Runtime error,Module loads successfully
"Given the following module-info.java:
module com.example {
    use com.example.api.Service;
}

What is the result?",Compilation error,Compilation succeeds,Runtime error,Service directive valid
"Given the following module-info.java:
module com.example {
    provide com.example.api.Service with com.example.impl.ServiceImpl;
}

What is the result?",Compilation error,Compilation succeeds,Runtime error,Service directive valid
"Given the following module-info.java:
module com.example {
    exports com.example.*;
}

What is the result?",Compilation error,Compilation succeeds,Runtime error,Wildcard exports allowed
"Given the following module-info.java:
module com.example {
    exports com.example.api;
    requires com.other;
}

What is the order of directives?",Any order is valid,exports must come first,requires must come first,Compilation error
"Given the following module-info.java:
module com.example {
    exports;
}

What is the result?",Compilation error,Compilation succeeds,Runtime error,Empty exports allowed
"Given the following module-info.java:
module com.example {
    requires;
}

What is the result?",Compilation error,Compilation succeeds,Runtime error,Empty requires allowed
"Given the following command line and files:
Directory structure:
myapp/
  com/example/Main.java
  module-info.java

Command: javac -d out myapp/module-info.java myapp/com/example/Main.java

What is the result?",Compilation succeeds,Compilation error: wrong directory,Compilation error: missing -p,Compilation error: module not found
"Given the following command line:
javac -d out myapp/*.java

With module-info.java in myapp/

What is the result?",Compilation may succeed,Compilation error: cannot use wildcard,Compilation error: missing module path,Compilation succeeds always
"Given the following command line:
javac -p mods -d out myapp/module-info.java myapp/com/example/Main.java

What does -p specify?",Module path,Class path,Destination directory,Package name
"Given the following command line:
javac -d out -p mods myapp/module-info.java

What does -d specify?",Output directory,Dependency path,Debug mode,Describe module
"Given the following command line:
javac --module-path mods -d out myapp/module-info.java

What is --module-path equivalent to?",-p,-cp,-d,-m
"Given the following command line:
javac -cp mods -d out myapp/module-info.java

What is the result for modular code?",Should use -p instead,Correct syntax,Compilation error,-cp works for modules
"Given the following command line:
javac -d out myapp/module-info.java

If module requires com.other but com.other is not on module path

What is the result?",Compilation error,Compilation succeeds,Runtime error,Module not found at runtime
"Given the following command line:
java -p mods -m com.example/com.example.Main

What does -m specify?",Module name and main class,Module path,Main class only,Module mode
"Given the following command line:
java --module com.example/com.example.Main -p mods

What is the result?",Runs successfully,-p must come before -m,Compilation error,Runtime error
"Given the following command line:
java -m com.example/com.example.Main -p mods

What is the result?",Runs successfully,Missing module path,Compilation error,Invalid syntax
"Given the following command line:
java -p mods --module com.example/com.example.Main

What is --module equivalent to?",-m,-p,-d,-cp
"Given the following command line:
java -p mods -m com.example

If module com.example does not specify main class in module-info.java

What is the result?",Runtime error,Runs successfully,Compilation error,Searches for Main class
"Given the following command line:
java -cp mods -m com.example/com.example.Main

What is the result?",Error: modules require -p not -cp,Runs successfully,Compilation error,Module not found
"Given the following command line:
java -p mods -m com.example.Main

If Main class is in com.example package

What is the correct syntax?",com.example/com.example.Main,com.example.Main is correct,com.example\\com.example.Main,Syntax shown is correct
"Given the following command line:
java -p mods -d com.example

What does -d do?",Describes the module,Runs the module,Specifies directory,Debug mode
"Given the following command line:
java --describe-module java.base

What is the result?",Shows module details,Compilation error,Runs java.base,Lists all modules
"Given the following command line:
java -p mods --describe-module com.example

What is --describe-module equivalent to?",-d,Both -d and --describe-module,-m,--module
"Given the following command line:
java --list-modules

What is the result?",Lists all observable modules,Compilation error,Runs all modules,Describes modules
"Given the following command line:
java -p mods --list-modules

What modules are listed?",System modules and modules in mods,Only system modules,Only modules in mods,Compilation error
"Given the following command line:
java --list-modules -p mods -m com.example/com.example.Main

What happens?",Lists modules then exits,Lists modules then runs program,Compilation error,Runtime error
"Given the following command line:
java --show-module-resolution -p mods -m com.example/com.example.Main

What is the result?",Shows module resolution then runs,Shows resolution only,Compilation error,Runtime error
"Given the following command line:
jar -cvf myapp.jar -C out/ .

What does -c mean?",Create,Compile,Copy,Class
"Given the following command line:
jar -cvf myapp.jar -C out/ .

What does -v mean?",Verbose,Version,Verify,Value
"Given the following command line:
jar -cvf myapp.jar -C out/ .

What does -f mean?",File name,Filter,Format,Function
"Given the following command line:
jar -cvf myapp.jar -C out/ .

What does -C mean?",Change directory,Create,Compile,Class
"Given the following command line:
jar --create --verbose --file myapp.jar -C out/ .

What is the short form?",jar -cvf myapp.jar -C out/ .,jar -c -v -f myapp.jar -C out/ .,jar cvf myapp.jar -C out/ .,All are equivalent
"Given the following command line:
jar -f mods/com.example.jar -d

What does -d do?",Describes the module,Deletes the jar,Debug mode,Directory
"Given the following command line:
jar --file mods/com.example.jar --describe-module

What is the short form?",jar -f mods/com.example.jar -d,jar -f -d mods/com.example.jar,jar -d -f mods/com.example.jar,All are equivalent
"Given the following command line:
jar -cvf myapp.jar out/

Without -C option

What is the result?",Creates jar with out/ directory structure,Same as with -C,Compilation error,Runtime error
"Given the following command line:
jdeps myapp.jar

What is the result?",Shows dependencies,Compilation error,Runs the jar,Creates module
"Given the following command line:
jdeps -s myapp.jar

What does -s mean?",Summary,System,Show,Scan
"Given the following command line:
jdeps --summary myapp.jar

What is the short form?",jdeps -s myapp.jar,jdeps -sum myapp.jar,jdeps -S myapp.jar,All are equivalent
"Given the following command line:
jdeps --jdk-internals myapp.jar

What is shown?",Internal API usage,All dependencies,Module info,Compilation errors
"Given the following command line:
jdeps -jdkinternals myapp.jar

Is this valid syntax?",Yes,No: must use --jdk-internals,Compilation error,Runtime error
"Given the following command line:
jdeps --module-path mods myapp.jar

What does --module-path specify?",Location of dependent modules,Main module,Output path,Class path
"Given the following command line:
jlink --module-path mods --add-modules com.example --output myruntime

What does --add-modules specify?",Modules to include,Module path,Output directory,Additional options
"Given the following command line:
jlink -p mods --add-modules com.example --output myruntime

What is -p equivalent to?",--module-path,--package,--path,--provide
"Given the following command line:
jlink --module-path mods --add-modules com.example --output myruntime

What does --output specify?",Output directory name,Output file,Output format,Output module
"Given the following command line:
jlink --module-path mods --add-modules com.example

Missing --output option

What is the result?",Error: --output required,Creates default output,Compilation error,Runtime error
