Question,Correct Answer,Wrong Answer 1,Wrong Answer 2,Wrong Answer 3
"What is the output?
import java.util.*;
import java.util.stream.*;
public class Test {
    public static void main(String[] args) {
        List<Integer> list = Arrays.asList(1, 2, 3, 4, 5);
        long count = list.stream().count();
        System.out.println(count);
    }
}",5,Compilation error,0,List
"What is the result?
import java.util.*;
import java.util.stream.*;
public class Test {
    public static void main(String[] args) {
        List<String> list = Arrays.asList(""a"", ""b"", ""c"");
        List<String> result = list.stream()
            .map(String::toUpperCase)
            .collect(Collectors.toList());
        System.out.println(result);
    }
}","[A, B, C]",Compilation error,"[a, b, c]","[""A"", ""B"", ""C""]"
"What is the output?
import java.util.*;
import java.util.stream.*;
public class Test {
    public static void main(String[] args) {
        List<Integer> list = Arrays.asList(1, 2, 3, 4, 5);
        List<Integer> result = list.stream()
            .filter(n -> n % 2 == 0)
            .collect(Collectors.toList());
        System.out.println(result);
    }
}","[2, 4]",Compilation error,"[1, 3, 5]","[1, 2, 3, 4, 5]"
"What is the result?
import java.util.*;
import java.util.stream.*;
public class Test {
    public static void main(String[] args) {
        Stream<Integer> stream = Stream.of(1, 2, 3);
        System.out.println(stream.count());
    }
}",3,Compilation error,0,1
"What is the output?
import java.util.*;
import java.util.stream.*;
public class Test {
    public static void main(String[] args) {
        List<Integer> list = Arrays.asList(1, 2, 3);
        int sum = list.stream()
            .reduce(0, (a, b) -> a + b);
        System.out.println(sum);
    }
}",6,Compilation error,0,3
"What is the result?
import java.util.*;
import java.util.stream.*;
public class Test {
    public static void main(String[] args) {
        List<String> list = Arrays.asList(""apple"", ""banana"", ""cherry"");
        Optional<String> first = list.stream().findFirst();
        System.out.println(first.orElse(""none""));
    }
}",apple,Compilation error,none,Optional[apple]
"What is the output?
import java.util.*;
import java.util.stream.*;
public class Test {
    public static void main(String[] args) {
        List<Integer> list = Arrays.asList(3, 1, 4, 1, 5);
        List<Integer> result = list.stream()
            .distinct()
            .collect(Collectors.toList());
        System.out.println(result);
    }
}","[3, 1, 4, 5]",Compilation error,"[3, 1, 4, 1, 5]","[1, 3, 4, 5]"
"What is the result?
import java.util.*;
import java.util.stream.*;
public class Test {
    public static void main(String[] args) {
        List<Integer> list = Arrays.asList(5, 2, 8, 1, 9);
        List<Integer> result = list.stream()
            .sorted()
            .collect(Collectors.toList());
        System.out.println(result);
    }
}","[1, 2, 5, 8, 9]",Compilation error,"[5, 2, 8, 1, 9]","[9, 8, 5, 2, 1]"
"What is the output?
import java.util.*;
import java.util.stream.*;
public class Test {
    public static void main(String[] args) {
        List<Integer> list = Arrays.asList(1, 2, 3, 4, 5);
        List<Integer> result = list.stream()
            .limit(3)
            .collect(Collectors.toList());
        System.out.println(result);
    }
}","[1, 2, 3]",Compilation error,"[1, 2, 3, 4, 5]","[3, 4, 5]"
"What is the result?
import java.util.*;
import java.util.stream.*;
public class Test {
    public static void main(String[] args) {
        List<Integer> list = Arrays.asList(1, 2, 3, 4, 5);
        List<Integer> result = list.stream()
            .skip(2)
            .collect(Collectors.toList());
        System.out.println(result);
    }
}","[3, 4, 5]",Compilation error,"[1, 2]","[1, 2, 3, 4, 5]"
"What is the output?
import java.util.*;
import java.util.stream.*;
public class Test {
    public static void main(String[] args) {
        List<Integer> list = Arrays.asList(1, 2, 3, 4, 5);
        boolean result = list.stream().anyMatch(n -> n > 3);
        System.out.println(result);
    }
}",true,false,Compilation error,Optional[true]
