Question,Correct Answer,Wrong Answer 1,Wrong Answer 2,Wrong Answer 3
"What is the output?
Thread t = new Thread(() -> System.out.println(""Hello""));
t.start();",Hello (printed in separate thread),Compilation error,Nothing printed,start() not valid
"Which interface has a call() method that returns a value?",Callable,Runnable,Thread,Executor
"What happens with this code?
ExecutorService executor = Executors.newSingleThreadExecutor();
executor.execute(() -> System.out.println(""Task""));
executor.shutdown();",Task printed,Compilation error,RejectedExecutionException,Nothing printed
"What is the result?
Callable<Integer> task = () -> 5 + 3;
ExecutorService executor = Executors.newSingleThreadExecutor();
Future<Integer> future = executor.submit(task);
System.out.println(future.get());",8,Compilation error,53,ExecutionException
"Which method starts a new thread?",start(),run(),execute(),begin()
"What is the output?
Thread t = new Thread(() -> System.out.println(""Hello""));
t.run();",Hello (printed in current thread),Hello (in new thread),Compilation error,Nothing printed
"What happens with Future.get()?
Future<String> future = executor.submit(() -> ""Result"");
String result = future.get();",Blocks until task completes,Returns immediately,Compilation error,Returns null
"Which creates a fixed thread pool with 5 threads?",Executors.newFixedThreadPool(5),Executors.newThreadPool(5),new ExecutorService(5),Executors.createFixedPool(5)
"What is the result?
Thread t = new Thread(() -> System.out.println(""Test""));
t.start();
t.start();",IllegalThreadStateException,Test printed twice,Compilation error,Nothing happens
"What is the output?
ExecutorService executor = Executors.newCachedThreadPool();
executor.submit(() -> System.out.println(""Task""));
executor.shutdown();",Task printed,Compilation error,Executor rejects task,Nothing printed
"Which interface has a run() method that returns void?",Runnable,Callable,Future,Executor
"What happens with shutdown()?
ExecutorService executor = Executors.newSingleThreadExecutor();
executor.shutdown();
executor.submit(() -> System.out.println(""Task""));",RejectedExecutionException,Task executed,Compilation error,Waits for shutdown
"What is the result?
Thread t = new Thread(() -> {
    try { Thread.sleep(1000); }
    catch (InterruptedException e) {}
});
t.start();",Thread sleeps for 1 second,Compilation error,Thread runs immediately,InterruptedException always thrown
"What is the output?
Callable<Integer> task = () -> { throw new Exception(""Error""); };
Future<Integer> future = executor.submit(task);
future.get();",ExecutionException thrown,Compilation error,Exception printed,Returns null
"Which executor creates threads as needed?",Executors.newCachedThreadPool(),Executors.newFixedThreadPool(),Executors.newSingleThreadExecutor(),Executors.newThreadPool()
"What happens with isDone()?
Future<String> future = executor.submit(() -> ""Done"");
System.out.println(future.isDone());","false initially, true when complete",Always true,Always false,Compilation error
"What is the result?
ExecutorService executor = Executors.newSingleThreadExecutor();
executor.execute(() -> System.out.println(""Task""));",Task printed,Compilation error,execute() not valid,Returns Future
"What is the output?
Thread t1 = new Thread(() -> System.out.print(""A""));
Thread t2 = new Thread(() -> System.out.print(""B""));
t1.start();
t2.start();",A and B in any order,AB always,BA always,Compilation error
"Which method forcibly stops an executor?",shutdownNow(),shutdown(),stop(),terminate()
"What happens with Thread.sleep()?
Thread.sleep(2000);",Current thread sleeps for 2 seconds,New thread created,Compilation error,Returns immediately
"What is the result?
Future<Integer> future = executor.submit(() -> 10);
System.out.println(future.get(1, TimeUnit.SECONDS));",10 (if completes in 1 second),TimeoutException always,Compilation error,Waits forever
"What is the output?
Runnable task = () -> {
    for (int i = 0; i < 3; i++)
        System.out.print(i);
};
new Thread(task).start();",012,123,0 1 2,Compilation error
"Which method waits for a thread to complete?",join(),wait(),await(),sleep()
"What happens with ExecutorService.submit(Runnable)?
ExecutorService executor = Executors.newSingleThreadExecutor();
Future<?> future = executor.submit(() -> System.out.println(""Task""));
System.out.println(future.get());",null (after task completes),Task,Compilation error,Future<Void>
"What is the result?
ScheduledExecutorService executor = Executors.newScheduledThreadPool(1);
executor.schedule(() -> System.out.println(""Task""), 1, TimeUnit.SECONDS);",Task printed after 1 second,Task printed immediately,Compilation error,Task never printed
"What is the output?
Thread.currentThread().getName();",Name of current thread,Compilation error,null,main always
"Which creates a single-threaded executor?",Executors.newSingleThreadExecutor(),Executors.newFixedThreadPool(1),Both A and B,new SingleThreadExecutor()
