Question,Correct Answer,Wrong Answer 1,Wrong Answer 2,Wrong Answer 3
Which method converts a collection to a stream?,stream(),toStream(),asStream(),getStream()
Which method creates a parallel stream?,parallelStream(),parallel(),concurrentStream(),threadStream()
What does flatMap() do?,Flattens nested structures into single stream,Maps values,Filters elements,Reduces stream
Which operation decomposes a stream?,flatMap(),map(),filter(),reduce()
"What does Stream.of(1, 2, 3) create?",Stream with three elements,Array,List,Set
How do you create an empty stream?,Stream.empty(),new Stream(),Stream.of(),Stream.create()
Which method concatenates two streams?,Stream.concat(),merge(),combine(),join()
What does reduce() do?,Combines elements to single result,Filters elements,Maps values,Creates stream
Which collector groups elements?,Collectors.groupingBy(),Collectors.toMap(),Collectors.toList(),Collectors.reducing()
Which collector partitions elements?,Collectors.partitioningBy(),Collectors.groupingBy(),Collectors.splitting(),Collectors.dividing()
What does partitioningBy() return?,"Map<Boolean,  List<T>>, Map<String", List<T>>,List<List<T>>,Set<List<T>>
What does groupingBy() return?,"Map<K,  List<V>>, List<V>",Set<V>,Map<K, V>
How many groups does partitioningBy() create?,Exactly 2 (true and false),Variable,1,3
Is map() an intermediate or terminal operation?,Intermediate,Terminal,Both,Neither
Is collect() an intermediate or terminal operation?,Terminal,Intermediate,Both,Neither
Which operation is lazy?,filter(),collect(),forEach(),count()
Which operation is eager?,forEach(),map(),filter(),peek()
Can you reuse a stream?,No,Yes,Only parallel,Only sequential
What happens if you reuse a stream?,IllegalStateException,Works normally,Compilation error,Returns empty
Which method converts stream to List?,collect(Collectors.toList()),toList(),asList(),getList()
Which method converts stream to Set?,collect(Collectors.toSet()),toSet(),asSet(),getSet()
Which method converts stream to Map?,collect(Collectors.toMap()),toMap(),asMap(),getMap()
What does Stream.of() accept?,Varargs,Array only,Collection only,List only
How do you create stream from array?,Arrays.stream(array),array.stream(),Stream.of(array),new Stream(array)
How do you create infinite stream?,Stream.generate() or Stream.iterate(),Stream.infinite(),Stream.unlimited(),Cannot create
What does Stream.generate() require?,Supplier,Function,Predicate,Consumer
What does Stream.iterate() require?,Seed and UnaryOperator,Only seed,Only function,Supplier
Which operation limits stream size?,limit(),take(),truncate(),max()
Which operation skips elements?,skip(),drop(),ignore(),pass()
What does distinct() do?,Removes duplicates,Sorts elements,Filters nulls,Maps values
What does sorted() do?,Sorts elements,Removes duplicates,Filters elements,Maps values
Does sorted() require Comparable?,Yes (or Comparator),No,Only for objects,Only for primitives
What does peek() do?,Performs action without modifying stream,Modifies elements,Filters elements,Terminal operation
Is peek() for debugging?,Yes (primarily),No,Only in production,Never use
What does anyMatch() return?,boolean,Stream,Optional,List
What does allMatch() return?,boolean,Stream,Optional,List
What does noneMatch() return?,boolean,Stream,Optional,List
What does findFirst() return?,Optional<T>,T,Stream<T>,boolean
What does findAny() return?,Optional<T>,T,Stream<T>,boolean
What does count() return?,long,int,Long,Integer
What does max() return?,Optional<T>,T,Stream<T>,Comparator
What does min() return?,Optional<T>,T,Stream<T>,Comparator
Does max() require Comparator?,Yes,No,Only for objects,Only for primitives
What does forEach() return?,void,Stream,boolean,Collection
What does forEachOrdered() do?,Maintains encounter order,Same as forEach,Sorts then iterates,Parallel only
What is the difference between map() and flatMap()?,flatMap flattens nested structures,No difference,map is faster,flatMap filters
"What does flatMap(Function<T, Stream<R>>) return?",Stream<R>,Stream<Stream<R>>,Stream<T>,List<R>
Which method flattens Optional?,flatMap(),map(),flatten(),unwrap()
What does filter() require?,Predicate,Function,Consumer,Supplier
What does map() require?,Function,Predicate,Consumer,Supplier
What does reduce() require?,BinaryOperator,UnaryOperator,Predicate,Function
What is the identity value in reduce()?,Starting value that doesn't change result,First element,Last element,Zero
What does reduce with identity return?,T (not Optional),Optional<T>,Stream<T>,void
What does reduce without identity return?,Optional<T>,T,Stream<T>,void
How many parameters can reduce() have?,"1,  2,  or 3",Only 1,Only 2,Only 3
What is the combiner in reduce()?,Combines partial results in parallel,Same as accumulator,Filters elements,Initial value
Is combiner used in sequential streams?,No,Yes,Sometimes,Always
When is combiner called?,In parallel streams,In sequential streams,Never,Always
What does Collectors.joining() do?,Concatenates strings,Joins streams,Merges collections,Splits strings
What delimiter does joining() use by default?,None (empty string),Comma,Space,Newline
Can joining() have prefix and suffix?,Yes,No,Only prefix,Only suffix
