Question,Correct Answer,Wrong Answer 1,Wrong Answer 2,Wrong Answer 3
Which package contains the Date-Time API?,java.time,java.util,java.date,java.datetime
Which class represents a date without time?,LocalDate,LocalDateTime,Date,Calendar
Which class represents a time without date?,LocalTime,LocalDateTime,Time,Calendar
Which class represents both date and time without timezone?,LocalDateTime,ZonedDateTime,Date,Timestamp
Which class represents date-time with timezone?,ZonedDateTime,LocalDateTime,OffsetDateTime,TimeZone
Which class represents instant in time?,Instant,ZonedDateTime,LocalDateTime,Timestamp
Which class represents a time zone?,ZoneId,TimeZone,ZonedDateTime,Zone
Which class represents time-based duration?,Duration,Period,Interval,TimeDuration
Which class represents date-based period?,Period,Duration,Interval,DatePeriod
Are Date-Time API classes mutable?,No (immutable),Yes,Some are,Only LocalDate
Which method creates current LocalDate?,LocalDate.now(),new LocalDate(),LocalDate.current(),LocalDate.today()
Which method creates specific LocalDate?,"LocalDate.of(year,  month,  day), new LocalDate(y,  m", d),LocalDate.create(),LocalDate.from()
Can you modify LocalDate after creation?,No (returns new instance),Yes,With setter,With modifier
What does LocalDate.plusDays() return?,New LocalDate,void,Modified original,LocalDateTime
What does LocalDate.minusMonths() return?,New LocalDate,void,Modified original,Period
Which method gets year from LocalDate?,getYear(),year(),getYearValue(),yearValue()
Which method gets month from LocalDate?,getMonth() or getMonthValue(),month(),monthValue(),getMonthNumber()
What does getMonth() return?,Month enum,int,String,MonthValue
What does getMonthValue() return?,int (1-12),Month enum,String,int (0-11)
Which method gets day of month?,getDayOfMonth(),getDay(),day(),dayOfMonth()
Which method gets day of week?,getDayOfWeek(),getDay(),dayOfWeek(),weekDay()
What does getDayOfWeek() return?,DayOfWeek enum,int,String,Integer
Which method creates current LocalTime?,LocalTime.now(),new LocalTime(),LocalTime.current(),LocalTime.create()
Which method creates specific LocalTime?,"LocalTime.of(hour,  minute), new LocalTime(h", m),LocalTime.create(),LocalTime.from()
Can LocalTime represent nanoseconds?,Yes,No,Only milliseconds,Only seconds
What is the range for hour in LocalTime?,0-23,1-24,0-24,1-23
