Question,Correct Answer,Wrong Answer 1,Wrong Answer 2,Wrong Answer 3
"What is the output?
Locale locale = new Locale(""fr"", ""FR"");
System.out.println(locale.getLanguage());",fr,FR,fr_FR,French
"Which creates a Locale for US English?",Locale.US,"new Locale(""EN"", ""US"")",Locale.ENGLISH,"new Locale(""US"")"
"What is the result?
ResourceBundle bundle = ResourceBundle.getBundle(""messages"", Locale.US);
System.out.println(bundle.getString(""greeting""));",Value of greeting key from messages.properties,Compilation error,MissingResourceException always,null
"What happens with date formatting?
DateTimeFormatter formatter = DateTimeFormatter.ofLocalizedDate(FormatStyle.SHORT);
LocalDate date = LocalDate.of(2024, 1, 15);
System.out.println(formatter.format(date));",Locale-specific short date format,2024-01-15,15/01/2024,Compilation error
"Which method gets default Locale?",Locale.getDefault(),Locale.getSystem(),Locale.getCurrent(),Locale.get()
"What is the output?
NumberFormat nf = NumberFormat.getCurrencyInstance(Locale.US);
System.out.println(nf.format(1234.56));","$1,234.56",1234.56,$1234.56,Compilation error
"What is the result?
Locale locale = new Locale(""en"", ""GB"");
System.out.println(locale.getCountry());",GB,en,en_GB,UK
"What happens with resource bundle fallback?
ResourceBundle bundle = ResourceBundle.getBundle(""messages"", new Locale(""fr"", ""CA""));",Falls back to messages_fr.properties if messages_fr_CA.properties not found,Throws exception,Uses default locale only,Returns empty bundle
"What is the output?
NumberFormat nf = NumberFormat.getPercentInstance();
System.out.println(nf.format(0.75));",75%,0.75,0.75%,Compilation error
"Which creates a Locale with language only?","new Locale(""fr"")","new Locale(""fr"", """")",Locale.forLanguage(""fr""),"new Locale(""FR"")"
"What is the result?
Locale.setDefault(new Locale(""es"", ""ES""));
System.out.println(Locale.getDefault().getLanguage());",es,ES,es_ES,Spanish
